geometry,profile,variant,independent_sequence_count,dependent_event_count,initialization_success_count,initialization_success_fraction,initialization_success_ci95_low,initialization_success_ci95_high,mean_initialization_time_s,final_valid_count,final_invalid_count,final_valid_fraction,final_valid_fraction_ci95_low,final_valid_fraction_ci95_high,final_failure_reason_counts,conditional_position_rmse_m,conditional_position_p95_m,conditional_velocity_rmse_mps,conditional_velocity_p95_mps,conditional_metric_valid_denominator,total_sequence_denominator,conditional_state_95_coverage_fraction,conditional_state_95_coverage_ci95_low,conditional_state_95_coverage_ci95_high,unconditional_valid_and_covered_fraction,unconditional_valid_and_covered_ci95_low,unconditional_valid_and_covered_ci95_high,delivered_clean_event_count,false_rejected_clean_event_count,false_rejected_clean_event_fraction,delivered_outlier_event_count,detected_outlier_event_count,detected_outlier_event_fraction,missed_outlier_event_count,missed_outlier_event_fraction,unclassified_outlier_event_count,mean_pre_update_nis_all_attempts,pre_update_nis_defined_count,pre_update_nis_rejected_count,mean_initialization_runtime_s,mean_measurement_update_runtime_s,mean_total_processing_runtime_s,maximum_covariance_symmetry_error,minimum_covariance_eigenvalue,maximum_covariance_condition_number,paired_valid_fraction_difference_vs_c1,paired_valid_fraction_difference_ci95_low,paired_valid_fraction_difference_ci95_high,paired_unconditional_coverage_difference_vs_c1,paired_unconditional_coverage_difference_ci95_low,paired_unconditional_coverage_difference_ci95_high,paired_conditional_position_rmse_difference_vs_c1_m,paired_position_rmse_difference_ci95_low_m,paired_position_rmse_difference_ci95_high_m,paired_conditional_velocity_rmse_difference_vs_c1_mps,paired_velocity_rmse_difference_ci95_low_mps,paired_velocity_rmse_difference_ci95_high_mps,paired_mean_false_rejection_rate_difference_vs_c1,paired_false_rejection_rate_difference_ci95_low,paired_false_rejection_rate_difference_ci95_high,paired_bootstrap_resample_count,paired_bootstrap_unit,p95_method,outlier_truth_used_by_estimator,covariance_after_selection_assumed_calibrated
informative,nominal,c1_baseline,100,4500,100,1.0,0.9630065017930143,1.0,1.9422692923708866,100,0,1.0,0.9630065017930143,1.0,{},0.758719771239699,1.399700790174876,0.07517653481313069,0.1354070516161919,100,100,0.92,0.8500189229905127,0.9589065385156194,0.92,0.8500189229905127,0.9589065385156194,4500,0,0.0,0,0,nan,0,nan,0,1.9858285568436553,3900,0,0.037979497001506386,0.020580774976406247,0.09105898798443376,0.0,6.822857559908319e-05,4820.98134493889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,whole_base_sequence,linear,False,False
informative,nominal,robust_initialization_only,100,4500,100,1.0,0.9630065017930143,1.0,1.9422692923708866,100,0,1.0,0.9630065017930143,1.0,{},0.758719771239699,1.399700790174876,0.07517653481313069,0.1354070516161919,100,100,0.92,0.8500189229905127,0.9589065385156194,0.92,0.8500189229905127,0.9589065385156194,4500,0,0.0,0,0,nan,0,nan,0,1.9858285568436553,3900,0,0.07737610399781261,0.020446091010817326,0.13011312399059535,0.0,6.822857559908319e-05,4820.98134493889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,whole_base_sequence,linear,False,False
informative,nominal,nis_gate_only,100,4500,100,1.0,0.9630065017930143,1.0,1.9422692923708866,100,0,1.0,0.9630065017930143,1.0,{},0.7704837696970688,1.4733418010620238,0.07557089397148416,0.1354070516161919,100,100,0.9,0.8256343384950865,0.9447708629393249,0.9,0.8256343384950865,0.9447708629393249,4500,37,0.008222222222222223,0,0,nan,0,nan,0,2.0064688184535244,3900,37,0.038402977998484855,0.02037537600728683,0.09073311600484885,0.0,6.822857559908319e-05,4832.337217021795,0.0,0.0,0.0,-0.020000000000000018,-0.05,0.0,0.011763998457369751,-0.001639428739163759,0.026464912255574978,0.00039435915835346613,-0.0008367852877907932,0.0015202069618346788,0.008222222222222223,0.005555555555555556,0.011111111111111112,2000,whole_base_sequence,linear,False,False
informative,nominal,robust_combined,100,4500,100,1.0,0.9630065017930143,1.0,1.9422692923708866,100,0,1.0,0.9630065017930143,1.0,{},0.7704837696970688,1.4733418010620238,0.07557089397148416,0.1354070516161919,100,100,0.9,0.8256343384950865,0.9447708629393249,0.9,0.8256343384950865,0.9447708629393249,4500,37,0.008222222222222223,0,0,nan,0,nan,0,2.0064688184535244,3900,37,0.0765339849999873,0.020246160029782915,0.12869321500882505,0.0,6.822857559908319e-05,4832.337217021795,0.0,0.0,0.0,-0.020000000000000018,-0.05,0.0,0.011763998457369751,-0.002087917631219227,0.026490905879973214,0.00039435915835346613,-0.0008630865216687232,0.0016036131838299771,0.008222222222222223,0.005555555555555556,0.011555555555555555,2000,whole_base_sequence,linear,False,False
informative,dropout_20,c1_baseline,100,3599,100,1.0,0.9630065017930143,1.0,2.439093556428955,100,0,1.0,0.9630065017930143,1.0,{},0.8906500043566081,1.6363070681737442,0.0873016391075016,0.15697614996166553,100,100,0.93,0.8625048526092651,0.9656807389327273,0.93,0.8625048526092651,0.9656807389327273,3599,0,0.0,0,0,nan,0,nan,0,2.008141056345554,2999,0,0.0388733050058363,0.015857268991530872,0.077045988010359,0.0,7.908668770437048e-05,5925.811243592117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,whole_base_sequence,linear,False,False
informative,dropout_20,robust_initialization_only,100,3599,100,1.0,0.9630065017930143,1.0,2.439093556428955,100,0,1.0,0.9630065017930143,1.0,{},0.8906500043566081,1.6363070681737442,0.0873016391075016,0.15697614996166553,100,100,0.93,0.8625048526092651,0.9656807389327273,0.93,0.8625048526092651,0.9656807389327273,3599,0,0.0,0,0,nan,0,nan,0,2.008141056345554,2999,0,0.07945202499860898,0.015830239005153998,0.11751511998067145,0.0,7.908668770437048e-05,5925.811243592117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,whole_base_sequence,linear,False,False
informative,dropout_20,nis_gate_only,100,3599,100,1.0,0.9630065017930143,1.0,2.439093556428955,100,0,1.0,0.9630065017930143,1.0,{},0.9109612780379707,1.6638574512381918,0.08829807704779088,0.15697614996166553,100,100,0.92,0.8500189229905127,0.9589065385156194,0.92,0.8500189229905127,0.9589065385156194,3599,32,0.008891358710752986,0,0,nan,0,nan,0,2.0477999838124434,2999,32,0.03930836699903011,0.015867040000739508,0.0774149669992039,0.0,7.915585885914836e-05,5942.389448612046,0.0,0.0,0.0,-0.010000000000000009,-0.03,0.0,0.02031127368136254,-0.0038243019897490236,0.05215469897351385,0.0009964379402892798,-0.0005699062677668194,0.00301676281917936,0.008917815474505496,0.0049711298822360086,0.014181049011391379,2000,whole_base_sequence,linear,False,False
informative,dropout_20,robust_combined,100,3599,100,1.0,0.9630065017930143,1.0,2.439093556428955,100,0,1.0,0.9630065017930143,1.0,{},0.9109612780379707,1.6638574512381918,0.08829807704779088,0.15697614996166553,100,100,0.92,0.8500189229905127,0.9589065385156194,0.92,0.8500189229905127,0.9589065385156194,3599,32,0.008891358710752986,0,0,nan,0,nan,0,2.0477999838124434,2999,32,0.07828182099910919,0.015523898999672383,0.1156298780196812,0.0,7.915585885914836e-05,5942.389448612046,0.0,0.0,0.0,-0.010000000000000009,-0.03,0.0,0.02031127368136254,-0.004013543173346473,0.05121796632103169,0.0009964379402892798,-0.0005616667048954332,0.002906720899095133,0.008917815474505496,0.005000928098694189,0.01402689191671223,2000,whole_base_sequence,linear,False,False
informative,dropout_50,c1_baseline,100,2223,100,1.0,0.9630065017930143,1.0,3.7157170893437046,100,0,1.0,0.9630065017930143,1.0,{},1.1875384806134397,1.9642557180725828,0.11671244171596495,0.19106845321127514,100,100,0.94,0.8752318455410406,0.9722138760368118,0.94,0.8752318455410406,0.9722138760368118,2223,0,0.0,0,0,nan,0,nan,0,2.012384437107011,1623,0,0.038679782994440755,0.00844926200574264,0.05732703200890683,0.0,0.0001019706810968422,11158.833321467519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,whole_base_sequence,linear,False,False
informative,dropout_50,robust_initialization_only,100,2223,100,1.0,0.9630065017930143,1.0,3.7157170893437046,100,0,1.0,0.9630065017930143,1.0,{},1.1875384806134397,1.9642557180725828,0.11671244171596495,0.19106845321127514,100,100,0.94,0.8752318455410406,0.9722138760368118,0.94,0.8752318455410406,0.9722138760368118,2223,0,0.0,0,0,nan,0,nan,0,2.012384437107011,1623,0,0.07829643399745692,0.008446350997546688,0.09685401500901207,0.0,0.0001019706810968422,11158.833321467519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,whole_base_sequence,linear,False,False
