split,configuration_index,sequence_index,sequence_seed,sequence_id,trajectory_kind,snr_db,signal_model,source_maximum_frequency_hz,doppler_bandlimit_checked,station_id,estimator_variant,frame_index,frame_start_reception_time_s,frame_center_reception_time_s,frame_end_reception_time_s,true_emission_time_s_evaluator_only,available_timestamp_s,modeled_processing_delay_s,modeled_delivery_delay_s,measured_algorithm_runtime_s,effective_station_snr_db,valid,invalid_reason,boundary_hit,geodesic_error_deg,source_seed,noise_seed,truth_used_by_audio_estimator,frame_from_continuous_stream,source_recording_id,source_session_id,source_interval_start_s,source_interval_stop_s,source_data_independent_between_splits,result_scope,source_is_emitted_waveform_approximation,absolute_spl_or_detection_range_validated,truth_local_0,truth_local_1,truth_local_2,truth_world_0,truth_world_1,truth_world_2,estimate_local_0,estimate_local_1,estimate_local_2,estimate_world_0,estimate_world_1,estimate_world_2,residual_rad_0,residual_rad_1,quality_metadata_json
evaluation,0,0,2404062123035186696,s8-recorded-evaluation-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,all_6_equal_gcc_wls,0,0.5,0.51065625,0.5213125,0.2235158036504338,0.5313125,0.01,0.0,0.0024671999999554828,-5.9991962697988495,True,,False,1.8632299220559818,11361463642356110399,12810951328900449014,False,True,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,12.0,18.0,False,single_session_integration_demonstration,True,False,0.7266241392281328,0.5516286803935657,0.4095401802732284,0.7266241392281328,0.5516286803935657,0.4095401802732284,0.7477890104185451,0.5381438189075342,0.38886093409967026,0.7477890104185451,0.5381438189075342,0.38886093409967026,-0.023542198309864,-0.022433960302801415,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.003295246602026952, ""gcc_mean_peak_ratio"": 1.306849245307904, ""gcc_minimum_peak_ratio"": 1.0514453503371861, ""gcc_total_spectral_energy"": 494775.81248642685, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,2404062123035186696,s8-recorded-evaluation-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,equal_weight_srp_phat,0,0.5,0.51065625,0.5213125,0.2235158036504338,0.5313125,0.01,0.0,0.005481799991684966,-5.9991962697988495,True,,False,1.3350573952021074,11361463642356110399,12810951328900449014,False,True,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,12.0,18.0,False,single_session_integration_demonstration,True,False,0.7266241392281328,0.5516286803935657,0.4095401802732284,0.7266241392281328,0.5516286803935657,0.4095401802732284,0.7367673601447187,0.5532998146765027,0.3886298651729308,0.7367673601447187,0.5532998146765027,0.3886298651729308,-0.004802630227914869,-0.022800837836163334,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.8550204127107616, ""srp_peak_score"": 0.051790509226804816, ""srp_score_margin"": 0.009063107418735741, ""srp_used_spectral_energy"": 494775.81248642685}"
evaluation,0,0,2404062123035186696,s8-recorded-evaluation-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,all_6_equal_gcc_wls,1,0.5106666666666667,0.5213229166666666,0.5319791666666667,0.23405804905499686,0.5419791666666667,0.01,0.0,0.0023360000050161034,-5.9991962697988495,True,,False,1.9373884779955224,11361463642356110399,12810951328900449014,False,True,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,12.0,18.0,False,single_session_integration_demonstration,True,False,0.7270583739257434,0.5510687770333231,0.40952328857276404,0.7270583739257434,0.5510687770333231,0.40952328857276404,0.7460570985123893,0.5453047623917135,0.3821537934813576,0.7460570985123893,0.5453047623917135,0.3821537934813576,-0.01607275954312104,-0.0297496218583687,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.002594821423626182, ""gcc_mean_peak_ratio"": 1.2735342368094733, ""gcc_minimum_peak_ratio"": 1.1631825120165733, ""gcc_total_spectral_energy"": 495977.0689806043, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,2404062123035186696,s8-recorded-evaluation-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,equal_weight_srp_phat,1,0.5106666666666667,0.5213229166666666,0.5319791666666667,0.23405804905499686,0.5419791666666667,0.01,0.0,0.005541699996683747,-5.9991962697988495,True,,False,2.328487761751443,11361463642356110399,12810951328900449014,False,True,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,12.0,18.0,False,single_session_integration_demonstration,True,False,0.7270583739257434,0.5510687770333231,0.40952328857276404,0.7270583739257434,0.5510687770333231,0.40952328857276404,0.7495605471903259,0.5445587761931437,0.3763173200462142,0.7495605471903259,0.5445587761931437,0.3763173200462142,-0.01878561787191103,-0.036037371156911906,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.8509290137928615, ""srp_peak_score"": 0.06793186239502742, ""srp_score_margin"": 0.006337614325892811, ""srp_used_spectral_energy"": 495977.0689806043}"
evaluation,0,0,2404062123035186696,s8-recorded-evaluation-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,all_6_equal_gcc_wls,2,0.5213333333333333,0.5319895833333333,0.5426458333333334,0.24460015196546914,0.5526458333333334,0.01,0.0,0.002369499998167157,-5.9991962697988495,True,,False,2.249045631523391,11361463642356110399,12810951328900449014,False,True,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,12.0,18.0,False,single_session_integration_demonstration,True,False,0.7274918618057078,0.5505090898599034,0.40950620628762846,0.7274918618057078,0.5505090898599034,0.40950620628762846,0.7304277432218379,0.5238867508432798,0.4381985671162381,0.7304277432218379,0.5238867508432798,0.4381985671162381,-0.02300667036341035,0.031804258460590824,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.0027144905677887895, ""gcc_mean_peak_ratio"": 1.2131802795123023, ""gcc_minimum_peak_ratio"": 1.006903516227476, ""gcc_total_spectral_energy"": 466674.7534569807, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,2404062123035186696,s8-recorded-evaluation-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,equal_weight_srp_phat,2,0.5213333333333333,0.5319895833333333,0.5426458333333334,0.24460015196546914,0.5526458333333334,0.01,0.0,0.005074899992905557,-5.9991962697988495,True,,False,3.239484795895217,11361463642356110399,12810951328900449014,False,True,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,12.0,18.0,False,single_session_integration_demonstration,True,False,0.7274918618057078,0.5505090898599034,0.40950620628762846,0.7274918618057078,0.5505090898599034,0.40950620628762846,0.7353704048586844,0.5091400745795944,0.44722114453037615,0.7353704048586844,0.5091400745795944,0.44722114453037615,-0.037762695320808795,0.042079850008964144,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.8370160334286751, ""srp_peak_score"": 0.0605145516689626, ""srp_score_margin"": 0.00714593772167027, ""srp_used_spectral_energy"": 466674.7534569807}"
evaluation,0,0,2404062123035186696,s8-recorded-evaluation-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,all_6_equal_gcc_wls,3,0.532,0.5426562500000001,0.5533125,0.25514211257282143,0.5633125,0.01,0.0,0.002822900001774542,-5.9991962697988495,True,,False,2.356731252581799,11361463642356110399,12810951328900449014,False,True,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,12.0,18.0,False,single_session_integration_demonstration,True,False,0.7279246036912218,0.5499496197839512,0.4094889339658217,0.7279246036912218,0.5499496197839512,0.4094889339658217,0.7047502696393692,0.5539616235790084,0.44323083945608494,0.7047502696393692,0.5539616235790084,0.44323083945608494,0.017175612821934586,0.03737511169260447,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.002902721297749763, ""gcc_mean_peak_ratio"": 1.3100504630617593, ""gcc_minimum_peak_ratio"": 1.1195256578360842, ""gcc_total_spectral_energy"": 418365.85320746526, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,2404062123035186696,s8-recorded-evaluation-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,equal_weight_srp_phat,3,0.532,0.5426562500000001,0.5533125,0.25514211257282143,0.5633125,0.01,0.0,0.005534799987799488,-5.9991962697988495,True,,False,7.299448501838327,11361463642356110399,12810951328900449014,False,True,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,12.0,18.0,False,single_session_integration_demonstration,True,False,0.7279246036912218,0.5499496197839512,0.4094889339658217,0.7279246036912218,0.5499496197839512,0.4094889339658217,0.6418138377051794,0.6434008514495843,0.41726531378021325,0.6418138377051794,0.6434008514495843,0.41726531378021325,0.1268144613025571,0.012194345279629662,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.8276860551692563, ""srp_peak_score"": 0.053130360657983294, ""srp_score_margin"": 0.003981308454776511, ""srp_used_spectral_energy"": 418365.85320746526}"
evaluation,0,0,2404062123035186696,s8-recorded-evaluation-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,all_6_equal_gcc_wls,4,0.5426666666666666,0.5533229166666667,0.5639791666666667,0.2656839310678918,0.5739791666666667,0.01,0.0,0.002485199991497211,-5.9991962697988495,True,,False,5.894483894019144,11361463642356110399,12810951328900449014,False,True,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,12.0,18.0,False,single_session_integration_demonstration,True,False,0.7283566004070743,0.5493903677121529,0.4094714721547215,0.7283566004070743,0.5493903677121529,0.4094714721547215,0.6567698453684361,0.6208443789788958,0.42802526479756997,0.6567698453684361,0.6208443789788958,0.42802526479756997,0.10033120101274155,0.022750037177557695,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.0030456649322609733, ""gcc_mean_peak_ratio"": 1.3599855239337548, ""gcc_minimum_peak_ratio"": 1.055891106466451, ""gcc_total_spectral_energy"": 431059.10420719365, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,2404062123035186696,s8-recorded-evaluation-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,equal_weight_srp_phat,4,0.5426666666666666,0.5533229166666667,0.5639791666666667,0.2656839310678918,0.5739791666666667,0.01,0.0,0.005376400004024617,-5.9991962697988495,True,,False,5.430733661870478,11361463642356110399,12810951328900449014,False,True,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,12.0,18.0,False,single_session_integration_demonstration,True,False,0.7283566004070743,0.5493903677121529,0.4094714721547215,0.7283566004070743,0.5493903677121529,0.4094714721547215,0.6650159229541861,0.6194292576549932,0.4172064440758031,0.6650159229541861,0.6194292576549932,0.4172064440758031,0.09419983696294143,0.010508667887388112,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.8152385417193653, ""srp_peak_score"": 0.06866843386249899, ""srp_score_margin"": 0.004303540238878578, ""srp_used_spectral_energy"": 431059.10420719365}"
