split,configuration_index,sequence_index,sequence_seed,sequence_id,trajectory_kind,snr_db,signal_model,source_maximum_frequency_hz,doppler_bandlimit_checked,station_id,estimator_variant,frame_index,frame_start_reception_time_s,frame_center_reception_time_s,frame_end_reception_time_s,true_emission_time_s_evaluator_only,available_timestamp_s,modeled_processing_delay_s,modeled_delivery_delay_s,measured_algorithm_runtime_s,effective_station_snr_db,valid,invalid_reason,boundary_hit,geodesic_error_deg,source_seed,noise_seed,truth_used_by_audio_estimator,frame_from_continuous_stream,source_model_comparison,paired_recording_id,paired_session_id,paired_origin_asset_id,source_recording_id,source_session_id,source_interval_start_s,source_interval_stop_s,source_data_independent_between_splits,result_scope,source_is_emitted_waveform_approximation,absolute_spl_or_detection_range_validated,frames_are_independent_trials,truth_local_0,truth_local_1,truth_local_2,truth_world_0,truth_world_1,truth_world_2,estimate_local_0,estimate_local_1,estimate_local_2,estimate_world_0,estimate_world_1,estimate_world_2,residual_rad_0,residual_rad_1,quality_metadata_json
evaluation,0,0,7051807767926021858,s8-independent-evaluation-recorded_source_approximation-0-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,all_6_equal_gcc_wls,5,0.5533333333333333,0.5639895833333333,0.5746458333333333,0.2762256076413849,0.5846458333333333,0.01,0.0,0.0023465999984182417,-6.0122114193266,True,,False,88.68544587735644,6286829343036515259,2724290195596798156,False,True,recorded_source_approximation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,5.0,11.0,True,held_out_independent_recording_evaluation,True,False,False,0.7287878527796311,0.5488313345472423,0.4094538214010801,0.7287878527796311,0.5488313345472423,0.4094538214010801,-0.6510516156105696,0.45066906828643993,0.6107611519249562,-0.6510516156105696,0.45066906828643993,0.6107611519249562,1.1637605184571986,1.020544195788324,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.0037604395900285525, ""gcc_mean_peak_ratio"": 1.3957517960904051, ""gcc_minimum_peak_ratio"": 1.055362651553341, ""gcc_total_spectral_energy"": 839.7660560885297, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,7051807767926021858,s8-independent-evaluation-recorded_source_approximation-0-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,equal_weight_srp_phat,5,0.5533333333333333,0.5639895833333333,0.5746458333333333,0.2762256076413849,0.5846458333333333,0.01,0.0,0.005036699993070215,-6.0122114193266,True,,False,59.80493999778781,6286829343036515259,2724290195596798156,False,True,recorded_source_approximation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,5.0,11.0,True,held_out_independent_recording_evaluation,True,False,False,0.7287878527796311,0.5488313345472423,0.4094538214010801,0.7287878527796311,0.5488313345472423,0.4094538214010801,0.09218829296751234,0.052126316838332507,0.9943762696950315,0.09218829296751234,0.052126316838332507,0.9943762696950315,-0.016687573749318868,1.043659707649965,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.7883303321017016, ""srp_peak_score"": 0.0265803764986326, ""srp_score_margin"": 0.0008120387199773912, ""srp_used_spectral_energy"": 839.7660560885297}"
evaluation,0,0,7051807767926021858,s8-independent-evaluation-recorded_source_approximation-0-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,all_6_equal_gcc_wls,6,0.5640000000000001,0.5746562500000001,0.5853125,0.28676714248387203,0.5953125,0.01,0.0,0.0029175999952713028,-6.0122114193266,True,,False,25.864161338445683,6286829343036515259,2724290195596798156,False,True,recorded_source_approximation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,5.0,11.0,True,held_out_independent_recording_evaluation,True,False,False,0.7292183616368205,0.5482725211880065,0.4094359822510207,0.7292183616368205,0.5482725211880065,0.4094359822510207,0.8874959595458837,0.4608154964730801,0.0,0.8874959595458837,0.4608154964730801,0.0,-0.1707610824907343,-0.41787073426073673,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.0025695602102839567, ""gcc_mean_peak_ratio"": 1.4148148926887798, ""gcc_minimum_peak_ratio"": 1.0613835750660479, ""gcc_total_spectral_energy"": 829.2165657623285, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,7051807767926021858,s8-independent-evaluation-recorded_source_approximation-0-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,equal_weight_srp_phat,6,0.5640000000000001,0.5746562500000001,0.5853125,0.28676714248387203,0.5953125,0.01,0.0,0.005563199985772371,-6.0122114193266,True,,False,11.898307159755408,6286829343036515259,2724290195596798156,False,True,recorded_source_approximation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,5.0,11.0,True,held_out_independent_recording_evaluation,True,False,False,0.7292183616368205,0.5482725211880065,0.4094359822510207,0.7292183616368205,0.5482725211880065,0.4094359822510207,0.8429538128607958,0.47514830532632785,0.2523151944076402,0.8429538128607958,0.47514830532632785,0.2523151944076402,-0.12771263576705572,-0.16375006394209196,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.7830786377310087, ""srp_peak_score"": 0.037245543092460705, ""srp_score_margin"": 0.005909280748642477, ""srp_used_spectral_energy"": 829.2165657623285}"
evaluation,0,0,7051807767926021858,s8-independent-evaluation-recorded_source_approximation-0-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,all_6_equal_gcc_wls,7,0.5746666666666667,0.5853229166666667,0.5959791666666667,0.2973085357857889,0.6059791666666667,0.01,0.0,0.002411500012385659,-6.0122114193266,True,,False,37.01724368217464,6286829343036515259,2724290195596798156,False,True,recorded_source_approximation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,5.0,11.0,True,held_out_independent_recording_evaluation,True,False,False,0.7296481278081182,0.5477139285292915,0.4094179552500335,0.7296481278081182,0.5477139285292915,0.4094179552500335,0.25326162491464166,0.9350930009439548,0.24791052605975503,0.25326162491464166,0.9350930009439548,0.24791052605975503,0.6393573029496517,-0.09291005947254334,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.0033766963242787044, ""gcc_mean_peak_ratio"": 1.3660754617987818, ""gcc_minimum_peak_ratio"": 1.0887592402003694, ""gcc_total_spectral_energy"": 811.65287993211, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,7051807767926021858,s8-independent-evaluation-recorded_source_approximation-0-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,equal_weight_srp_phat,7,0.5746666666666667,0.5853229166666667,0.5959791666666667,0.2973085357857889,0.6059791666666667,0.01,0.0,0.005018500000005588,-6.0122114193266,True,,False,17.713990879404694,6286829343036515259,2724290195596798156,False,True,recorded_source_approximation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,5.0,11.0,True,held_out_independent_recording_evaluation,True,False,False,0.7296481278081182,0.5477139285292915,0.4094179552500335,0.7296481278081182,0.5477139285292915,0.4094179552500335,0.492942890587353,0.7377411707180161,0.46124318059673897,0.492942890587353,0.7377411707180161,0.46124318059673897,0.2988141154393718,0.07933880215955642,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.7918968324281869, ""srp_peak_score"": 0.031392396564335324, ""srp_score_margin"": 0.0022945865232310916, ""srp_used_spectral_energy"": 811.65287993211}"
evaluation,0,0,7051807767926021858,s8-independent-evaluation-recorded_source_approximation-0-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,all_6_equal_gcc_wls,8,0.5853333333333334,0.5959895833333333,0.6066458333333333,0.30784978773743693,0.6166458333333333,0.01,0.0,0.002376599994022399,-6.0122114193266,True,,False,43.4503338855535,6286829343036515259,2724290195596798156,False,True,recorded_source_approximation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,5.0,11.0,True,held_out_independent_recording_evaluation,True,False,False,0.7300771521245317,0.5471555574620073,0.40939974094297304,0.7300771521245317,0.5471555574620073,0.40939974094297304,0.15046322086551625,0.4789218839178187,0.8648668384620735,0.15046322086551625,0.4789218839178187,0.8648668384620735,0.3230933170309054,0.6860812890992015,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.003627165030922466, ""gcc_mean_peak_ratio"": 1.3652243200304204, ""gcc_minimum_peak_ratio"": 1.0399740104267634, ""gcc_total_spectral_energy"": 852.7434111184725, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,7051807767926021858,s8-independent-evaluation-recorded_source_approximation-0-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,equal_weight_srp_phat,8,0.5853333333333334,0.5959895833333333,0.6066458333333333,0.30784978773743693,0.6166458333333333,0.01,0.0,0.006292600010056049,-6.0122114193266,True,,False,19.139144274267547,6286829343036515259,2724290195596798156,False,True,recorded_source_approximation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,5.0,11.0,True,held_out_independent_recording_evaluation,True,False,False,0.7300771521245317,0.5471555574620073,0.40939974094297304,0.7300771521245317,0.5471555574620073,0.40939974094297304,0.48454020787414814,0.7713223463822918,0.41265315329534713,0.48454020787414814,0.7713223463822918,0.41265315329534713,0.3327882363410192,0.02890389741579217,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.8013608273174667, ""srp_peak_score"": 0.028505635495807674, ""srp_score_margin"": 0.00453402959527641, ""srp_used_spectral_energy"": 852.7434111184725}"
evaluation,0,0,7051807767926021858,s8-independent-evaluation-recorded_source_approximation-0-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,all_6_equal_gcc_wls,9,0.596,0.60665625,0.6173125,0.3183908985289816,0.6273125,0.01,0.0,0.002311900010681711,-6.0122114193266,True,,False,24.531097871419412,6286829343036515259,2724290195596798156,False,True,recorded_source_approximation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,5.0,11.0,True,held_out_independent_recording_evaluation,True,False,False,0.7305054354185865,0.5465974088731351,0.4093813398740545,0.7305054354185865,0.5465974088731351,0.4093813398740545,0.7529348623642539,0.658095048633951,0.0,0.7529348623642539,0.658095048633951,0.0,0.07820320402644168,-0.4209457618386664,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.0032478838997227213, ""gcc_mean_peak_ratio"": 1.1965413956727877, ""gcc_minimum_peak_ratio"": 1.0060409542743116, ""gcc_total_spectral_energy"": 846.5511284972224, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,7051807767926021858,s8-independent-evaluation-recorded_source_approximation-0-0,constant_velocity,-6.0,recorded_source_approximation,10000.0,True,S0,equal_weight_srp_phat,9,0.596,0.60665625,0.6173125,0.3183908985289816,0.6273125,0.01,0.0,0.005075100008980371,-6.0122114193266,True,,False,17.362437693446623,6286829343036515259,2724290195596798156,False,True,recorded_source_approximation,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,5.0,11.0,True,held_out_independent_recording_evaluation,True,False,False,0.7305054354185865,0.5465974088731351,0.4093813398740545,0.7305054354185865,0.5465974088731351,0.4093813398740545,0.5537049595058341,0.5175621737060291,0.6523344342952722,0.5537049595058341,0.5175621737060291,0.6523344342952722,0.08395249445621052,0.29117038355070524,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.7766855284037786, ""srp_peak_score"": 0.02830651859423367, ""srp_score_margin"": 0.002387525560248925, ""srp_used_spectral_energy"": 846.5511284972224}"
