configuration,station_geometry,station_count,orientation_mode,baseline_m,station_positions_world_m_json,target_coordinates_world_m_json,target_x_m,target_y_m,target_z_m,target_range_over_baseline,target_horizontal_range_over_baseline,target_altitude_over_baseline,minimum_ray_intersection_angle_deg,maximum_ray_intersection_angle_deg,station_triangle_area_m2,closest_rays_rank,closest_rays_condition_number,closest_rays_eigenvalues_json,truth_used_online,dynamic_tracking_implemented,retarded_time_fusion_implemented
equilateral_near,equilateral,3,aligned,20.0,"[[-10.0,-5.773502691896257,0.0],[10.0,-5.773502691896257,0.0],[0.0,11.547005383792515,0.0]]","[16.383040885779835,11.471528727020921,15.0]",16.383040885779835,11.471528727020921,15.0,1.25,1.0,0.75,32.22489923748369,51.481686771202966,173.2050807568877,3,6.332612720874377,"[0.46059662427607057,2.6226233336414886,2.9167800420824403]",False,False,False
equilateral_mid,equilateral,3,aligned,20.0,"[[-10.0,-5.773502691896257,0.0],[10.0,-5.773502691896257,0.0],[0.0,11.547005383792515,0.0]]","[49.14912265733951,34.41458618106276,20.0]",49.14912265733951,34.41458618106276,20.0,3.162277660168379,3.0,1.0,9.932267300320632,19.550231351684154,173.2050807568877,3,48.17425687323323,"[0.062184166901727025,2.9421398033264685,2.9956760297718055]",False,False,False
equilateral_far,equilateral,3,aligned,20.0,"[[-10.0,-5.773502691896257,0.0],[10.0,-5.773502691896257,0.0],[0.0,11.547005383792515,0.0]]","[163.83040885779835,114.71528727020922,40.0]",163.83040885779835,114.71528727020922,40.0,10.198039027185569,10.0,2.0,2.6603456576214666,5.75089379153613,173.2050807568877,3,572.5102862696966,"[0.005239773567781357,2.9949359611533244,2.9998242652788942]",False,False,False
equilateral_scale_small,equilateral,3,aligned,10.0,"[[-5.0,-2.8867513459481287,0.0],[5.0,-2.8867513459481287,0.0],[0.0,5.773502691896257,0.0]]","[24.574561328669756,17.20729309053138,10.0]",24.574561328669756,17.20729309053138,10.0,3.162277660168379,3.0,1.0,9.932267300320632,19.550231351684154,43.301270189221924,3,48.17425687323323,"[0.062184166901727025,2.9421398033264685,2.9956760297718055]",False,False,False
equilateral_scale_large,equilateral,3,aligned,50.0,"[[-25.0,-14.433756729740644,0.0],[25.0,-14.433756729740644,0.0],[0.0,28.867513459481287,0.0]]","[122.87280664334877,86.03646545265691,50.0]",122.87280664334877,86.03646545265691,50.0,3.1622776601683795,3.0,1.0,9.932267300320595,19.550231351684154,1082.5317547305483,3,48.174256873233404,"[0.0621841669017268,2.9421398033264685,2.9956760297718055]",False,False,False
elongated_mid,elongated,3,aligned,20.0,"[[-11.866666666666667,-1.6,0.0],[8.133333333333333,-1.6,0.0],[3.7333333333333343,3.2,0.0]]","[49.14912265733951,34.41458618106276,20.0]",49.14912265733951,34.41458618106276,20.0,3.162277660168379,3.0,1.0,5.623858771472359,11.099535862756639,48.00000000000001,3,151.5421391604215,"[0.01978955517471698,2.9812589206154825,2.9989515242098]",False,False,False
near_collinear_far,near_collinear,3,aligned,20.0,"[[-10.0,-0.013333333333333332,0.0],[0.0,0.026666666666666672,0.0],[10.0,-0.013333333333333332,0.0]]","[163.83040885779835,114.71528727020922,40.0]",163.83040885779835,114.71528727020922,40.0,10.198039027185569,10.0,2.0,1.6009823458269912,3.350882723634167,0.4000000000000001,3,1753.5387604981192,"[0.0017108261675213843,2.9982891766092834,2.999999997223196]",False,False,False
equilateral_oriented,equilateral,3,varied,20.0,"[[-10.0,-5.773502691896257,0.0],[10.0,-5.773502691896257,0.0],[0.0,11.547005383792515,0.0]]","[49.14912265733951,34.41458618106276,20.0]",49.14912265733951,34.41458618106276,20.0,3.162277660168379,3.0,1.0,9.932267300320632,19.550231351684154,173.2050807568877,3,48.174256873233915,"[0.06218416690172614,2.9421398033264685,2.9956760297718055]",False,False,False
elongated_oriented,elongated,3,varied,40.0,"[[-23.733333333333334,-3.2,0.0],[16.266666666666666,-3.2,0.0],[7.466666666666669,6.4,0.0]]","[196.59649062935804,137.65834472425104,20.0]",196.59649062935804,137.65834472425104,20.0,6.020797289396148,6.0,0.5,2.242311788131194,5.420562930970534,192.00000000000003,3,660.2222038577136,"[0.004543890693476715,2.9954785815707696,2.9999775277357514]",False,False,False
