geometry,motion,azimuth_noise_std_deg,elevation_noise_std_deg,delivery_schedule,method,independent_sequence_count,successful_initialization_count,successful_initialization_fraction,successful_initialization_fraction_ci95_low,successful_initialization_fraction_ci95_high,final_valid_count,final_failure_fraction,final_failure_reason_counts,mean_time_to_first_estimate_s,final_position_rmse_m,final_position_p95_m,final_velocity_rmse_mps,final_velocity_p95_mps,final_state_95_coverage_fraction,final_state_95_coverage_ci95_low,final_state_95_coverage_ci95_high,mean_sequence_measurement_nis,mean_sequence_nis_95_coverage_fraction,median_total_runtime_s,mean_update_runtime_s,maximum_covariance_symmetry_error,minimum_covariance_eigenvalue,coverage_interval_unit,temporal_nis_nees_are_dependent
informative,stationary,0.03,0.05,ordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,0.051466112761344586,0.06901238862084559,0.02504138780054479,0.036422778353932005,1.0,0.5101091635454027,1.0,1.7188507929008625,1.0,0.03837185000156751,0.0005395472224134008,0.0,2.6689367938778215e-05,whole_sequence_final_outcome,True
informative,stationary,0.03,0.05,ordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.30800000000000005,0.05146688440337201,0.0690113305004804,0.02504387541075213,0.03642460859970413,1.0,0.5101091635454027,1.0,nan,nan,0.6487057500053197,nan,0.0,2.6693493263426222e-05,whole_sequence_final_outcome,True
informative,stationary,0.03,0.05,ordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,0.3896063083428442,0.5190035930554546,0.11787291686631046,0.15347761072140995,1.0,0.5101091635454027,1.0,nan,nan,0.03145680000670836,nan,1.734723475976807e-18,3.5300245840574024e-05,whole_sequence_final_outcome,True
informative,stationary,0.03,0.05,ordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.507999999999999,0.05146688440337201,0.0690113305004804,0.02504387541075213,0.03642460859970413,1.0,0.5101091635454027,1.0,nan,nan,0.07850145000156772,nan,0.0,2.6693493263426222e-05,whole_sequence_final_outcome,True
informative,stationary,0.03,0.05,reordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.182520338965675,0.06657077991311655,0.08833494511028599,0.02698607539990412,0.033669230345621776,0.75,0.30064184258240184,0.9544127391902995,2.3705749183866707,0.9166666666666666,0.05439019999357697,0.0006602583333814335,0.0,2.265364819051224e-05,whole_sequence_final_outcome,True
informative,stationary,0.03,0.05,reordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.41262966007152835,0.06655547903039005,0.08830200050616896,0.02698060099305697,0.03366302310578897,0.75,0.30064184258240184,0.9544127391902995,nan,nan,0.8015034500040201,nan,0.0,2.2652111995830323e-05,whole_sequence_final_outcome,True
informative,stationary,0.03,0.05,reordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.182520338965675,0.4084225159235531,0.5526843857218416,0.11480252068414742,0.15397945665799131,0.75,0.30064184258240184,0.9544127391902995,nan,nan,0.04699139999684121,nan,3.469446951953614e-18,3.129236250830936e-05,whole_sequence_final_outcome,True
informative,stationary,0.03,0.05,reordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.613855953709899,0.06655547903039005,0.08830200050616896,0.02698060099305697,0.03366302310578897,0.75,0.30064184258240184,0.9544127391902995,nan,nan,0.09648059999926772,nan,0.0,2.2652111995830323e-05,whole_sequence_final_outcome,True
informative,stationary,0.1,0.18,ordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,0.21895845751975873,0.2783250145517356,0.09654303060712702,0.11994723239093347,1.0,0.5101091635454027,1.0,1.3633131590916494,1.0,0.0642300000108662,0.0007679277775120379,0.0,0.00030599625157824045,whole_sequence_final_outcome,True
informative,stationary,0.1,0.18,ordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.30800000000000005,0.21876978894010538,0.278092563291987,0.09655567263380063,0.11990699310365639,1.0,0.5101091635454027,1.0,nan,nan,0.9913126500014187,nan,0.0,0.00030584866817295046,whole_sequence_final_outcome,True
informative,stationary,0.1,0.18,ordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,0.974977765506563,1.2421877256164786,0.32438057641362994,0.4123036079981364,1.0,0.5101091635454027,1.0,nan,nan,0.05506815000080678,nan,2.7755575615628914e-17,0.00040501566048363057,whole_sequence_final_outcome,True
informative,stationary,0.1,0.18,ordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.507999999999999,0.21876978894010538,0.278092563291987,0.09655567263380063,0.11990699310365639,1.0,0.5101091635454027,1.0,nan,nan,0.11527709999973013,nan,0.0,0.00030584866817295046,whole_sequence_final_outcome,True
informative,stationary,0.1,0.18,reordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.0413351401412871,0.2982317832498084,0.3699913868624431,0.13375877381069876,0.17967505124209088,0.75,0.30064184258240184,0.9544127391902995,1.7275667052270496,0.9722222222222222,0.042859400007728254,0.000544113888786847,0.0,0.0002627894385334311,whole_sequence_final_outcome,True
informative,stationary,0.1,0.18,reordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.31372164096040445,0.2983076302398899,0.37012583713008745,0.13374503356532313,0.17964195755198725,0.75,0.30064184258240184,0.9544127391902995,nan,nan,0.648631000001842,nan,0.0,0.0002626985833052413,whole_sequence_final_outcome,True
informative,stationary,0.1,0.18,reordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.0413351401412871,1.690390121244555,2.2709467505333576,0.5202235210871636,0.6939847053788928,1.0,0.5101091635454027,1.0,nan,nan,0.03635550000217336,nan,2.7755575615628914e-17,0.0003544008694260503,whole_sequence_final_outcome,True
informative,stationary,0.1,0.18,reordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.4267287362651326,0.2983076302398899,0.37012583713008745,0.13374503356532313,0.17964195755198725,0.75,0.30064184258240184,0.9544127391902995,nan,nan,0.07441525000103866,nan,0.0,0.0002626985833052413,whole_sequence_final_outcome,True
informative,stationary,0.3,0.5,ordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,0.6067163512603795,0.8492067664426731,0.27972749054723495,0.3417053883845361,1.0,0.5101091635454027,1.0,2.875912687270491,0.8888888888888888,0.04421020000518183,0.0005360638884263204,0.0,0.0028219177301687763,whole_sequence_final_outcome,True
informative,stationary,0.3,0.5,ordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.30800000000000005,0.6093785160454511,0.8524125571623663,0.280347291932972,0.34153104771694487,1.0,0.5101091635454027,1.0,nan,nan,0.6687394500022492,nan,0.0,0.002826879494867536,whole_sequence_final_outcome,True
informative,stationary,0.3,0.5,ordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,4.190301504233016,5.107081338327706,1.2312094231814332,1.5142932070596813,1.0,0.5101091635454027,1.0,nan,nan,0.03767145000347227,nan,2.220446049250313e-16,0.00374165665705681,whole_sequence_final_outcome,True
informative,stationary,0.3,0.5,ordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.507999999999999,0.6093785160454511,0.8524125571623663,0.280347291932972,0.34153104771694487,1.0,0.5101091635454027,1.0,nan,nan,0.08791964999909396,nan,0.0,0.002826879494867536,whole_sequence_final_outcome,True
informative,stationary,0.3,0.5,reordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.21551966102024,0.7915653327679698,1.0726646906037138,0.3400294315690519,0.47591610302181253,1.0,0.5101091635454027,1.0,1.5952711087140037,0.9444444444444444,0.045199699996373965,0.0005485472220243537,0.0,0.0020509008074788963,whole_sequence_final_outcome,True
informative,stationary,0.3,0.5,reordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.4866267490681947,0.7926502308463546,1.0728760336520589,0.34046527795389225,0.4764880135304303,1.0,0.5101091635454027,1.0,nan,nan,0.7142479499980254,nan,0.0,0.002050846858819001,whole_sequence_final_outcome,True
informative,stationary,0.3,0.5,reordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.21551966102024,4.915462108258456,7.80522925640834,1.3988433641334126,2.2527522372342834,0.75,0.30064184258240184,0.9544127391902995,nan,nan,0.03844030000254861,nan,1.1102230246251565e-16,0.0028380908240270104,whole_sequence_final_outcome,True
informative,stationary,0.3,0.5,reordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.6574200328716486,0.7926502308463546,1.0728760336520589,0.34046527795389225,0.4764880135304303,1.0,0.5101091635454027,1.0,nan,nan,0.08389035000072909,nan,0.0,0.002050846858819001,whole_sequence_final_outcome,True
