study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,calibration_seed,evaluation_seed,seed,estimator_variant,srp_backend,common_random_numbers,exact_reference_trials_per_configuration,exact_reference_sampling_scope,exact_fast_disagreement_covers_all_evaluation_trials,runtime_component,runtime_sample_count,exact_reference_trial_count,exact_fast_disagreement_trial_count,exact_fast_disagreement_scope,mean_exact_fast_disagreement_deg,max_exact_fast_disagreement_deg,mean_runtime_s,median_runtime_s,p95_runtime_s
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,0.0,0.0,1024,all_6,500,1000,1572511961,302286287,302286287,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.005582276801462285,0.0053268500487320125,0.00755489499424584
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,0.0,0.0,1024,all_6,500,1000,1572511961,302286287,302286287,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.003994481207148087,0.007054253387923157,0.2615663333563134,0.2604593000141904,0.2734794200398028
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,2.0,2.0,1024,all_6,500,1000,2559222749,1282210727,1282210727,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.001761248199851252,0.0015849999617785215,0.0025601300469134
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,2.0,2.0,1024,all_6,500,1000,2559222749,1282210727,1282210727,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.005565485598519444,0.005248200031928718,0.007776629942236465
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,2.0,2.0,1024,all_6,500,1000,2559222749,1282210727,1282210727,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.005647092422714045,0.014951926109659995,0.2597577333605538,0.2598481000168249,0.264308410033118
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,5.0,5.0,1024,all_6,500,1000,2403097419,1272349562,1272349562,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0017824265995295718,0.001593849970959127,0.00255501001374796
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,5.0,5.0,1024,all_6,500,1000,2403097419,1272349562,1272349562,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.0055868652997305614,0.005192950018681586,0.0077819800004363055
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,5.0,5.0,1024,all_6,500,1000,2403097419,1272349562,1272349562,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.000919993831073355,0.0018302893887274265,0.26031249998292577,0.25734789995476604,0.27187965996563435
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,10.0,10.0,1024,all_6,500,1000,469922851,3217642786,3217642786,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.001755069698789157,0.0015989000094123185,0.002537814999232069
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,10.0,10.0,1024,all_6,500,1000,469922851,3217642786,3217642786,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.005690092700300738,0.005347299971617758,0.008243945019785315
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,10.0,10.0,1024,all_6,500,1000,469922851,3217642786,3217642786,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.0032125223566878687,0.008749623710512165,0.2618570333579555,0.26083390007261187,0.267674709984567
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,20.0,20.0,1024,all_6,500,1000,1718345181,4231909955,4231909955,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0017798340984154493,0.0016213500057347119,0.0025302100519184025
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,20.0,20.0,1024,all_6,500,1000,1718345181,4231909955,4231909955,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.006055689398664981,0.005703499948140234,0.009512094897218047
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,20.0,20.0,1024,all_6,500,1000,1718345181,4231909955,4231909955,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.002698809859461053,0.0059794218830704505,0.26652473331584287,0.26620569999795407,0.27114102996420114
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,30.0,30.0,1024,all_6,500,1000,2820199712,2400615734,2400615734,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0017701343002263456,0.0015942499157972634,0.0025312500598374753
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,30.0,30.0,1024,all_6,500,1000,2820199712,2400615734,2400615734,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.006093143803183921,0.005733500001952052,0.009184485068544744
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,30.0,30.0,1024,all_6,500,1000,2820199712,2400615734,2400615734,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.00449565917771842,0.004808585137285055,0.2591510333198433,0.2595097000012174,0.2657511999597773
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-10.0,-10.0,1024,all_6,500,1000,4052015168,1373262049,1373262049,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0017441705983364955,0.0015982500044628978,0.002499929949408397
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-10.0,-10.0,1024,all_6,500,1000,4052015168,1373262049,1373262049,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_interpolated_search,1000,0,0,not_applicable,nan,nan,0.005630951399565674,0.005327299993950874,0.008316229993943124
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-10.0,-10.0,1024,all_6,500,1000,4052015168,1373262049,1373262049,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,srp_exact_vectorized_reference,3,3,3,sampled_exact_reference_trials_only,0.004154494464007663,0.007681263284727594,0.24722586669183025,0.2366108000278473,0.26987075004726646
srp_paired_full,random_broadband,evaluation,square,az20_el10,20.0,10.0,-8.0,-8.0,1024,all_6,500,1000,2270389723,3680216868,3680216868,runtime_diagnostic,not_applicable,True,3,first_3_evaluation_trials_per_configuration,False,gcc_all_pair_phat,1000,0,0,not_applicable,nan,nan,0.0017060416991589592,0.0015625000232830644,0.002514114935183898
