trajectory_kind,snr_db,estimator_variant,recorded_source_scope,recorded_source_session_count,broadband_independent_sequence_count,comparison_is_descriptive_only,recorded_bearing_rmse_deg_conditional,broadband_bearing_rmse_deg_conditional,recorded_minus_broadband_bearing_rmse_deg_conditional,recorded_bearing_p95_deg_conditional,broadband_bearing_p95_deg_conditional,recorded_minus_broadband_bearing_p95_deg_conditional,recorded_confirmed_publication_fraction,broadband_confirmed_publication_fraction,recorded_minus_broadband_confirmed_publication_fraction,recorded_final_valid_sequence_fraction,broadband_final_valid_sequence_fraction,recorded_minus_broadband_final_valid_sequence_fraction,recorded_position_rmse_m_conditional,broadband_position_rmse_m_conditional,recorded_minus_broadband_position_rmse_m_conditional,recorded_coverage_conditional,broadband_coverage_conditional,recorded_minus_broadband_coverage_conditional
constant_velocity,-6.0,all_6_equal_gcc_wls,single_session_integration_demonstration,1,1,True,12.469364353054507,0.4867459544511742,11.982618398603332,26.923728623724088,0.8633856762061646,26.060342947517924,0.5555555555555556,0.7380952380952381,-0.18253968253968256,1.0,1.0,0.0,4.7603620216216855,0.9908813889262459,3.7694806326954398,1.0,0.8064516129032258,0.19354838709677424
constant_velocity,-6.0,equal_weight_srp_phat,single_session_integration_demonstration,1,1,True,3.4778398128942802,0.48465466231325116,2.993185150581029,7.180923670904335,0.864860881280432,6.316062789623903,0.5925925925925926,0.7380952380952381,-0.14550264550264558,1.0,1.0,0.0,6.045935921177367,0.9863996746426975,5.05953624653467,0.75,0.8064516129032258,-0.056451612903225756
constant_velocity,10.0,all_6_equal_gcc_wls,single_session_integration_demonstration,1,1,True,0.2354701833582788,0.08154118622814861,0.1539289971301302,0.406119460331352,0.14129713920715314,0.26482232112419885,0.6666666666666666,0.7857142857142857,-0.11904761904761907,1.0,1.0,0.0,0.5382977252310354,0.11344362341037598,0.4248541018206594,1.0,1.0,0.0
constant_velocity,10.0,equal_weight_srp_phat,single_session_integration_demonstration,1,1,True,0.23607644518573262,0.08158160032692059,0.15449484485881204,0.4065814085258969,0.14090782903713894,0.26567357948875797,0.6666666666666666,0.7857142857142857,-0.11904761904761907,1.0,1.0,0.0,0.5876913418193145,0.11368827805577447,0.47400306376354,1.0,1.0,0.0
