geometry,profile,method,is_causal,evaluation_time_s,independent_sequence_count,valid_count,invalid_count,valid_fraction,valid_fraction_ci95_low,valid_fraction_ci95_high,successful_initialization_count,successful_initialization_fraction,successful_initialization_fraction_ci95_low,successful_initialization_fraction_ci95_high,failure_reason_counts,conditional_position_rmse_m,conditional_position_p95_m,conditional_velocity_rmse_mps,conditional_velocity_p95_mps,conditional_metric_valid_denominator,total_sequence_denominator,conditional_state_95_coverage_fraction,conditional_state_95_coverage_ci95_low,conditional_state_95_coverage_ci95_high,unconditional_valid_and_covered_fraction,unconditional_valid_and_covered_ci95_low,unconditional_valid_and_covered_ci95_high,state_95_covered_count,p95_method,independent_unit,mean_sequence_pre_update_nis,sequence_pre_update_nis_count,pre_update_nis_dof,paired_valid_fraction_difference_vs_nominal,paired_valid_fraction_difference_ci95_low,paired_valid_fraction_difference_ci95_high,paired_unconditional_coverage_difference_vs_nominal,paired_unconditional_coverage_difference_ci95_low,paired_unconditional_coverage_difference_ci95_high,paired_bootstrap_resample_count,paired_bootstrap_unit,profiles_within_base_block_are_paired,observation_model_is_gaussian
informative,dropout_20,initial_batch_no_updates,True,14.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},16.415824711878752,27.010141747283924,1.211266635646239,1.9855639313308255,100,100,0.97,0.9154806357094724,0.9897454759759611,0.97,0.9154806357094724,0.9897454759759611,97,linear,whole_base_sequence,nan,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2000,whole_base_sequence,True,True
informative,dropout_20,offline_full_record_noncausal,False,14.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.8292965053313741,1.4555762078585768,0.07942282931389459,0.130226854011574,100,100,0.98,0.929988209271456,0.9944980324498376,0.98,0.929988209271456,0.9944980324498376,98,linear,whole_base_sequence,nan,0,2,0.0,0.0,0.0,0.02,-0.02,0.06,2000,whole_base_sequence,True,True
informative,dropout_20,retarded_ekf,True,12.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.6775862898241388,1.1754188256088565,0.07896541567414925,0.1299156782338863,100,100,0.96,0.9016292856411208,0.9843366960084523,0.96,0.9016292856411208,0.9843366960084523,96,linear,whole_base_sequence,1.981163514696811,100,2,0.0,0.0,0.0,0.0,-0.05,0.05,2000,whole_base_sequence,True,True
informative,dropout_20,retarded_ekf,True,14.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.8276807854850972,1.453568499251466,0.07920200186069722,0.1299156782338863,100,100,0.96,0.9016292856411208,0.9843366960084523,0.96,0.9016292856411208,0.9843366960084523,96,linear,whole_base_sequence,1.981163514696811,100,2,0.0,0.0,0.0,0.0,-0.05,0.05,2000,whole_base_sequence,True,True
informative,dropout_50,causal_prefix_batch,True,12.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.9643089549789912,1.495195309178122,0.1109494394482275,0.1869314640594739,100,100,0.94,0.8752318455410406,0.9722138760368118,0.94,0.8752318455410406,0.9722138760368118,94,linear,whole_base_sequence,nan,0,2,0.0,0.0,0.0,-0.02,-0.08,0.04,2000,whole_base_sequence,True,True
informative,dropout_50,causal_prefix_batch,True,14.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},1.175459051596572,1.8651047389592486,0.11102753878563242,0.1869314640606423,100,100,0.94,0.8752318455410406,0.9722138760368118,0.94,0.8752318455410406,0.9722138760368118,94,linear,whole_base_sequence,nan,0,2,0.0,0.0,0.0,-0.02,-0.08,0.04,2000,whole_base_sequence,True,True
informative,dropout_50,initial_batch_no_updates,True,12.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},11.589105187261914,19.730206178036514,1.0777629527725432,1.8042965894466103,100,100,0.97,0.9154806357094724,0.9897454759759611,0.97,0.9154806357094724,0.9897454759759611,97,linear,whole_base_sequence,nan,0,2,0.0,0.0,0.0,0.0,-0.03,0.03,2000,whole_base_sequence,True,True
informative,dropout_50,initial_batch_no_updates,True,14.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},13.74132771238371,23.52176394603722,1.0777629527725432,1.8042965894466103,100,100,0.97,0.9154806357094724,0.9897454759759611,0.97,0.9154806357094724,0.9897454759759611,97,linear,whole_base_sequence,nan,0,2,0.0,0.0,0.0,0.0,-0.03,0.03,2000,whole_base_sequence,True,True
informative,dropout_50,offline_full_record_noncausal,False,14.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},1.175459051596572,1.8651047389592486,0.11102753878563242,0.1869314640606423,100,100,0.94,0.8752318455410406,0.9722138760368118,0.94,0.8752318455410406,0.9722138760368118,94,linear,whole_base_sequence,nan,0,2,0.0,0.0,0.0,-0.02,-0.08,0.04,2000,whole_base_sequence,True,True
informative,dropout_50,retarded_ekf,True,12.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.9639941364710813,1.519815713391349,0.11113471759391291,0.19538985327363484,100,100,0.95,0.8882495307680808,0.9784563208456319,0.95,0.8882495307680808,0.9784563208456319,95,linear,whole_base_sequence,1.968121856705962,100,2,0.0,0.0,0.0,-0.01,-0.07,0.05,2000,whole_base_sequence,True,True
informative,dropout_50,retarded_ekf,True,14.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},1.1756643686369972,1.905921803241071,0.11122518974886492,0.19538985327363484,100,100,0.95,0.8882495307680808,0.9784563208456319,0.95,0.8882495307680808,0.9784563208456319,95,linear,whole_base_sequence,1.968121856705962,100,2,0.0,0.0,0.0,-0.01,-0.07,0.05,2000,whole_base_sequence,True,True
informative,long_delay,causal_prefix_batch,True,12.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.6436043296826225,1.1609434146298223,0.07669257360673984,0.13086515169099538,100,100,0.98,0.929988209271456,0.9944980324498376,0.98,0.929988209271456,0.9944980324498376,98,linear,whole_base_sequence,nan,0,2,0.0,0.0,0.0,0.02,0.0,0.05,2000,whole_base_sequence,True,True
informative,long_delay,causal_prefix_batch,True,14.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.7559785187307719,1.2699470444179337,0.07298242641144526,0.129656120632694,100,100,0.96,0.9016292856411208,0.9843366960084523,0.96,0.9016292856411208,0.9843366960084523,96,linear,whole_base_sequence,nan,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2000,whole_base_sequence,True,True
informative,long_delay,initial_batch_no_updates,True,12.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},12.267153274107395,21.062821514801186,1.0538071671376028,1.8388442747517082,100,100,0.97,0.9154806357094724,0.9897454759759611,0.97,0.9154806357094724,0.9897454759759611,97,linear,whole_base_sequence,nan,0,2,0.0,0.0,0.0,0.0,-0.03,0.03,2000,whole_base_sequence,True,True
informative,long_delay,initial_batch_no_updates,True,14.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},14.373123387550487,24.741527332623846,1.0538071671376028,1.8388442747517082,100,100,0.97,0.9154806357094724,0.9897454759759611,0.97,0.9154806357094724,0.9897454759759611,97,linear,whole_base_sequence,nan,0,2,0.0,0.0,0.0,0.0,-0.03,0.03,2000,whole_base_sequence,True,True
informative,long_delay,offline_full_record_noncausal,False,14.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.7559785187307719,1.2699470444179337,0.07298242641144526,0.129656120632694,100,100,0.96,0.9016292856411208,0.9843366960084523,0.96,0.9016292856411208,0.9843366960084523,96,linear,whole_base_sequence,nan,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2000,whole_base_sequence,True,True
informative,long_delay,retarded_ekf,True,12.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.6436675073592685,1.156711838719485,0.07667540362961835,0.13030576536354482,100,100,0.98,0.929988209271456,0.9944980324498376,0.98,0.929988209271456,0.9944980324498376,98,linear,whole_base_sequence,1.9779852804159008,100,2,0.0,0.0,0.0,0.02,0.0,0.05,2000,whole_base_sequence,True,True
informative,long_delay,retarded_ekf,True,14.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},0.7558658968835037,1.2768116738874813,0.07294816879688845,0.12923263315696706,100,100,0.96,0.9016292856411208,0.9843366960084523,0.96,0.9016292856411208,0.9843366960084523,96,linear,whole_base_sequence,1.9779852804159008,100,2,0.0,0.0,0.0,0.0,0.0,0.0,2000,whole_base_sequence,True,True
informative,mixed,causal_prefix_batch,True,12.5,100,92,8,0.92,0.8500189229905127,0.9589065385156194,100,1.0,0.9630065017930143,1.0,"{""projected_kkt_not_satisfied"": 8}",5.8713819378290415,10.981174323970466,0.6867741173510311,1.3140774726296247,92,100,0.22826086956521738,0.15442192005212033,0.3238831828205001,0.21,0.141656540619153,0.29979968834089865,21,linear,whole_base_sequence,nan,0,2,-0.08,-0.14,-0.03,-0.75,-0.83,-0.66,2000,whole_base_sequence,True,False
informative,mixed,causal_prefix_batch,True,14.5,100,91,9,0.91,0.837737871472837,0.9519274599974348,100,1.0,0.9630065017930143,1.0,"{""projected_kkt_not_satisfied"": 9}",6.513422073101618,13.561396268513695,0.6300022239000571,1.285185608112183,91,100,0.2087912087912088,0.1379408066814811,0.3032318549474272,0.19,0.12514751509768735,0.27778845379064376,19,linear,whole_base_sequence,nan,0,2,-0.09,-0.15,-0.04,-0.77,-0.85,-0.68,2000,whole_base_sequence,True,False
informative,mixed,initial_batch_no_updates,True,12.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},101.78224104175156,240.5775222878321,8.725315594181486,20.169244778197545,100,100,0.71,0.6146110882442888,0.7898516425087772,0.71,0.6146110882442888,0.7898516425087772,71,linear,whole_base_sequence,nan,0,2,0.0,0.0,0.0,-0.26,-0.35,-0.17,2000,whole_base_sequence,True,False
informative,mixed,initial_batch_no_updates,True,14.5,100,100,0,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,{},119.22072494035211,280.9159468233553,8.725315594181486,20.169244778197545,100,100,0.71,0.6146110882442888,0.7898516425087772,0.71,0.6146110882442888,0.7898516425087772,71,linear,whole_base_sequence,nan,0,2,0.0,0.0,0.0,-0.26,-0.35,-0.17,2000,whole_base_sequence,True,False
informative,mixed,offline_full_record_noncausal,False,14.5,100,91,9,0.91,0.837737871472837,0.9519274599974348,91,0.91,0.837737871472837,0.9519274599974348,"{""projected_kkt_not_satisfied"": 9}",6.513422073101618,13.561396268513695,0.6300022239000571,1.285185608112183,91,100,0.2087912087912088,0.1379408066814811,0.3032318549474272,0.19,0.12514751509768735,0.27778845379064376,19,linear,whole_base_sequence,nan,0,2,-0.09,-0.15,-0.04,-0.77,-0.85,-0.69,2000,whole_base_sequence,True,False
