geometry,motion,azimuth_noise_std_deg,elevation_noise_std_deg,delivery_schedule,sequence_index,base_seed,seed_scheme,truth_seed,bearing_noise_seed,delivery_seed,truth_provenance,bearing_noise_provenance,delivery_provenance,independent_unit,time_samples_within_sequence_are_dependent,tangent_frame,method,dependent_publication_count,valid_publication_count,initialization_succeeded,time_to_first_estimate_s,final_valid,final_failure_reason,failure_reason_counts,dependent_time_position_rmse_m,dependent_time_position_p95_m,dependent_time_velocity_rmse_mps,dependent_time_velocity_p95_mps,final_position_error_m,final_velocity_error_mps,final_state_nees,final_state_95_coverage,mean_measurement_nis,measurement_nis_95_coverage_fraction,total_runtime_s,mean_update_runtime_s,maximum_covariance_symmetry_error,minimum_covariance_eigenvalue
informative,stationary,0.03,0.05,ordered,2,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",16337352868866274998,4070790506237779699,43910568661047239,s7cc1:20260908:0:2:truth,s7cc1:20260908:0:2:bearing_noise,s7cc1:20260908:0:2:delivery,whole_sequence,True,prediction,initial_batch_no_updates,15,10,True,1.108,True,,"{""not_initialized"": 5}",0.1863605289502226,0.2628844835230821,0.08773391062945063,0.08773391062945063,0.268908649776385,0.08773391062945063,4.359513269288892,True,nan,nan,0.032186600008571986,nan,1.734723475976807e-18,3.840029101519252e-05
informative,stationary,0.03,0.05,ordered,2,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",16337352868866274998,4070790506237779699,43910568661047239,s7cc1:20260908:0:2:truth,s7cc1:20260908:0:2:bearing_noise,s7cc1:20260908:0:2:delivery,whole_sequence,True,prediction,offline_full_record_noncausal,1,1,True,3.507999999999999,True,,{},0.03322020081664222,0.03322020081664222,0.003877666874332703,0.003877666874332703,0.03322020081664222,0.003877666874332703,4.729816173163597,True,nan,nan,0.07115110000086133,nan,0.0,2.8996022845169812e-05
informative,stationary,0.03,0.05,ordered,3,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",1320279815968374039,5739774509186283841,6783587924910712451,s7cc1:20260908:0:3:truth,s7cc1:20260908:0:3:bearing_noise,s7cc1:20260908:0:3:delivery,whole_sequence,True,prediction,retarded_ekf,15,10,True,1.108,True,,"{""not_initialized"": 5}",0.09169285755162287,0.13995912394776627,0.056836869968360036,0.09837369653004605,0.0348131938774336,0.021519212362463364,5.401297620575039,True,1.442415203094233,1.0,0.03694280000127037,0.0005088666669810967,0.0,2.6689367938778215e-05
informative,stationary,0.03,0.05,ordered,3,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",1320279815968374039,5739774509186283841,6783587924910712451,s7cc1:20260908:0:3:truth,s7cc1:20260908:0:3:bearing_noise,s7cc1:20260908:0:3:delivery,whole_sequence,True,prediction,causal_prefix_batch,15,13,True,0.30800000000000005,True,,"{""insufficient_measurements"": 2}",0.17184479270589118,0.36925455506911437,0.28576478301473013,0.5996725005777547,0.03480848148871575,0.02152510229255634,5.403242884064703,True,nan,nan,0.6428478000052564,nan,0.0,2.6693493263426222e-05
informative,stationary,0.03,0.05,ordered,3,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",1320279815968374039,5739774509186283841,6783587924910712451,s7cc1:20260908:0:3:truth,s7cc1:20260908:0:3:bearing_noise,s7cc1:20260908:0:3:delivery,whole_sequence,True,prediction,initial_batch_no_updates,15,10,True,1.108,True,,"{""not_initialized"": 5}",0.30512351046493186,0.4117772559353399,0.1174345503633114,0.1174345503633114,0.4198834500216128,0.1174345503633114,7.3959475093264295,True,nan,nan,0.03072700000484474,nan,1.734723475976807e-18,3.5300245840574024e-05
informative,stationary,0.03,0.05,ordered,3,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",1320279815968374039,5739774509186283841,6783587924910712451,s7cc1:20260908:0:3:truth,s7cc1:20260908:0:3:bearing_noise,s7cc1:20260908:0:3:delivery,whole_sequence,True,prediction,offline_full_record_noncausal,1,1,True,3.507999999999999,True,,{},0.03480848148871575,0.03480848148871575,0.02152510229255634,0.02152510229255634,0.03480848148871575,0.02152510229255634,5.403242884064703,True,nan,nan,0.09324470000137808,nan,0.0,2.6693493263426222e-05
informative,stationary,0.03,0.05,reordered,0,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",14111214341379373278,5025069058645694767,11396920949599903025,s7cc1:20260908:1:0:truth,s7cc1:20260908:1:0:bearing_noise,s7cc1:20260908:1:0:delivery,whole_sequence,True,prediction,retarded_ekf,15,10,True,1.194618576607784,True,,"{""not_initialized"": 5}",0.08060935227390649,0.12255113761316498,0.0689984355601693,0.11272837273516034,0.040158505175016415,0.02642239681469499,5.846190492490076,True,1.6138206078311164,1.0,0.049267099991993746,0.0005600444443795519,0.0,2.265364819051224e-05
informative,stationary,0.03,0.05,reordered,0,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",14111214341379373278,5025069058645694767,11396920949599903025,s7cc1:20260908:1:0:truth,s7cc1:20260908:1:0:bearing_noise,s7cc1:20260908:1:0:delivery,whole_sequence,True,prediction,causal_prefix_batch,15,13,True,0.36215565193069654,True,,"{""insufficient_measurements"": 2}",0.4321215834014562,1.0445486843340175,0.5990734987577744,1.4196544607363764,0.04015180834727114,0.026422035934829145,5.846375918903164,True,nan,nan,0.6392463999982283,nan,0.0,2.2652111995830323e-05
informative,stationary,0.03,0.05,reordered,0,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",14111214341379373278,5025069058645694767,11396920949599903025,s7cc1:20260908:1:0:truth,s7cc1:20260908:1:0:bearing_noise,s7cc1:20260908:1:0:delivery,whole_sequence,True,prediction,initial_batch_no_updates,15,10,True,1.194618576607784,True,,"{""not_initialized"": 5}",0.32589333172312646,0.46110057689570405,0.13788322496226538,0.13788322496226535,0.48260843702647555,0.13788322496226535,8.79894569603558,True,nan,nan,0.04261879999830853,nan,1.734723475976807e-18,3.129236250830936e-05
informative,stationary,0.03,0.05,reordered,0,20260908,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",14111214341379373278,5025069058645694767,11396920949599903025,s7cc1:20260908:1:0:truth,s7cc1:20260908:1:0:bearing_noise,s7cc1:20260908:1:0:delivery,whole_sequence,True,prediction,offline_full_record_noncausal,1,1,True,3.7529808501857254,True,,{},0.04015180834727114,0.04015180834727114,0.026422035934829145,0.026422035934829145,0.04015180834727114,0.026422035934829145,5.846375918903164,True,nan,nan,0.08398680000027525,nan,0.0,2.2652111995830323e-05
