estimator_variant,event_count,valid_measurement_count,initialization_event_count,accepted_update_count,rejected_update_count,rejected_event_count,first_confirmation_time_s,confirmed_before_manoeuvre,final_time_since_last_accepted_update_s,maximum_time_since_last_accepted_update_s,correction_status,final_valid,final_confirmed,reset_count,failure_reason,rejection_reasons_json,tracker_runtime_s,maximum_history_memory_bytes,maximum_history_nodes,configuration_index,sequence_index,sequence_seed,trajectory_kind,snr_db,source_recording_id,source_session_id,source_data_independent_between_splits,result_scope,audio_synthesis_wall_runtime_s,bearing_frontend_wall_runtime_s,audio_pipeline_wall_runtime_s
all_6_equal_gcc_wls,27,27,11,11,3,5,1.8966458333333334,True,0.0,0.0,prediction_with_measurement_corrections,True,True,0,,"{""confirmed_initialization_consensus_outlier"": 2, ""emission_outside_history"": 3}",0.3210890000045765,116320,20,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration,33.265649799999665,7.045083100005286,40.343734199996106
equal_weight_srp_phat,27,27,9,13,2,5,1.5853125000000001,True,0.0,0.015000000000000124,prediction_with_measurement_corrections,True,True,0,,"{""confirmed_initialization_consensus_outlier"": 3, ""emission_outside_history"": 1, ""pre_update_nis_gate"": 1}",0.5197550000011688,116320,20,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration,33.265649799999665,7.045083100005286,40.343734199996106
all_6_equal_gcc_wls,27,27,10,15,2,2,1.5553125,True,0.0,0.0,prediction_with_measurement_corrections,True,True,0,,"{""emission_outside_history"": 2}",0.13035490000038408,116320,20,1,0,1447613699111005141,constant_velocity,10.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration,33.248440800001845,6.958235099999001,40.2406803000049
equal_weight_srp_phat,27,27,10,15,2,2,1.5553125,True,0.0,0.0,prediction_with_measurement_corrections,True,True,0,,"{""emission_outside_history"": 2}",0.13039279999793507,116320,20,1,0,1447613699111005141,constant_velocity,10.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration,33.248440800001845,6.958235099999001,40.2406803000049
