split,trajectory_kind,snr_db,estimator_variant,independent_sequence_count,dependent_bearing_count,bearing_valid_fraction,bearing_rmse_deg_conditional,bearing_p95_deg_conditional,dependent_publication_count,confirmed_publication_fraction,valid_publication_fraction,final_valid_sequence_fraction,position_rmse_m_conditional,position_p95_m_conditional,position_max_m_conditional,velocity_rmse_mps_conditional,velocity_p95_mps_conditional,coverage_conditional,valid_and_covered_fraction,mean_first_confirmation_time_s,confirmed_before_manoeuvre_sequence_fraction,prediction_without_correction_sequence_fraction,mean_reset_count,failure_reasons_json,mean_tracker_runtime_s_per_sequence,mean_audio_synthesis_wall_runtime_s_per_sequence,mean_bearing_frontend_wall_runtime_s_per_sequence,mean_audio_pipeline_wall_runtime_s_per_sequence,maximum_history_memory_bytes,maximum_history_nodes,conditional_metrics_use_successful_results_only,overlapping_frames_are_independent_trials
evaluation,constant_velocity,-6.0,all_6_equal_gcc_wls,1,1260,1.0,0.4867459544511742,0.8633856762061646,42,0.7380952380952381,0.7380952380952381,1.0,0.9908813889262459,1.8361569140834972,1.8641184788668106,0.9135164132520435,1.2899182334253374,0.8064516129032258,0.5952380952380952,1.5853125000000001,1.0,0.0,0.0,{},0.2314317000000301,61.393973399999595,11.872582899999543,73.26691600000049,116320,20,True,False
evaluation,constant_velocity,-6.0,equal_weight_srp_phat,1,1260,1.0,0.48465466231325116,0.864860881280432,42,0.7380952380952381,0.7380952380952381,1.0,0.9863996746426975,1.7653559001361665,1.7916495533609338,0.9095259239332407,1.300536320923473,0.8064516129032258,0.5952380952380952,1.5853125000000001,1.0,0.0,0.0,{},0.29327290000037465,61.393973399999595,11.872582899999543,73.26691600000049,116320,20,True,False
evaluation,constant_velocity,10.0,all_6_equal_gcc_wls,1,1260,1.0,0.08154118622814861,0.14129713920715314,42,0.7857142857142857,0.7857142857142857,1.0,0.11344362341037598,0.16520105421213815,0.1821009095820319,0.12506131089422112,0.1744684689050627,1.0,0.7857142857142857,1.5553125,1.0,0.0,0.0,{},0.22227399999974295,60.092022000000725,12.378276200000982,72.47084510000059,116320,20,True,False
evaluation,constant_velocity,10.0,equal_weight_srp_phat,1,1260,1.0,0.08158160032692059,0.14090782903713894,42,0.7857142857142857,0.7857142857142857,1.0,0.11368827805577447,0.1662146271327859,0.1832931091803746,0.1253246060082045,0.17381976234170585,1.0,0.7857142857142857,1.5553125,1.0,0.0,0.0,{},0.19936299999972107,60.092022000000725,12.378276200000982,72.47084510000059,116320,20,True,False
evaluation,constant_acceleration_segment,-6.0,all_6_equal_gcc_wls,1,1260,1.0,0.4783479169833165,0.8307221763656537,42,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,1.0,0.0,"{""tentative_initialization_unconfirmed"": 1}",3.0632055000005494,131.83075169999938,11.921876899999916,143.75311729999885,0,0,True,False
evaluation,constant_acceleration_segment,-6.0,equal_weight_srp_phat,1,1260,1.0,0.4759073079526588,0.8261376647782409,42,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,1.0,0.0,"{""tentative_initialization_unconfirmed"": 1}",3.460095899999942,131.83075169999938,11.921876899999916,143.75311729999885,0,0,True,False
evaluation,constant_acceleration_segment,10.0,all_6_equal_gcc_wls,1,1260,1.0,0.0827952457001764,0.14303638936492874,42,0.7857142857142857,0.7857142857142857,1.0,0.5543670844654082,1.1216471656000635,1.3279660606516104,1.1920834430058522,2.3934317416798416,1.0,0.7857142857142857,1.5553125,1.0,0.0,0.0,{},0.20689709999896877,128.17803749999985,12.362128199998551,140.5406297999998,116320,20,True,False
evaluation,constant_acceleration_segment,10.0,equal_weight_srp_phat,1,1260,1.0,0.08282438564691164,0.14294991998983997,42,0.7857142857142857,0.7857142857142857,1.0,0.5544335742157003,1.1242248442850105,1.3291281416688867,1.1917858911898858,2.392035372536721,1.0,0.7857142857142857,1.5553125,1.0,0.0,0.0,{},0.1947554999987915,128.17803749999985,12.362128199998551,140.5406297999998,116320,20,True,False
evaluation,smooth_turn,-6.0,all_6_equal_gcc_wls,1,1260,1.0,0.47890964361278426,0.829722703003183,42,0.7857142857142857,0.7857142857142857,1.0,0.8284384085843914,1.3369187772972138,1.3606387970062213,1.532598730752345,2.6999032900771334,0.8484848484848485,0.6666666666666666,1.5553125,1.0,0.0,0.0,{},0.1721983999996155,30.129890199999863,12.302733900000021,42.43312530000003,116320,20,True,False
evaluation,smooth_turn,-6.0,equal_weight_srp_phat,1,1260,1.0,0.4758809580344657,0.8226544074916091,42,0.7857142857142857,0.7857142857142857,1.0,0.812195026875379,1.3031569590392826,1.3928383606879582,1.5194603798171984,2.670215416975402,0.8484848484848485,0.6666666666666666,1.5553125,1.0,0.0,0.0,{},0.1615150999987236,30.129890199999863,12.302733900000021,42.43312530000003,116320,20,True,False
evaluation,smooth_turn,10.0,all_6_equal_gcc_wls,1,1260,1.0,0.08286748073427938,0.14154414060285192,42,0.7857142857142857,0.7857142857142857,1.0,0.5505562825278009,1.0836142040089796,1.3814806067634913,1.2796824184419555,2.748016140049314,1.0,0.7857142857142857,1.5553125,1.0,0.0,0.0,{},0.18350699999973585,27.998787399999856,13.10397329999978,41.103225799999564,116320,20,True,False
evaluation,smooth_turn,10.0,equal_weight_srp_phat,1,1260,1.0,0.08299641178552812,0.14092893479805677,42,0.7857142857142857,0.7857142857142857,1.0,0.5501147160409886,1.0833496995554244,1.3831555747012658,1.2796956161932906,2.7491070373683097,1.0,0.7857142857142857,1.5553125,1.0,0.0,0.0,{},0.1729421000000002,27.998787399999856,13.10397329999978,41.103225799999564,116320,20,True,False
