study_type,configuration,geometry,motion,speed_mps,distance_m,frame_length,frame_duration_ms,signal_model,snr_db,nominal_snr_db,nominal_moving_snr_db,nominal_static_snr_db,expected_effective_moving_snr_db,expected_effective_static_snr_db,mean_effective_moving_snr_db,mean_effective_static_snr_db,effective_snr_definition,noise_standard_deviation,estimator_variant,trial_count,signal_seed,noise_seed,clean_signal_seed_scope,common_random_numbers,truth_definition,truth_reception_time_s,truth_emission_time_s,truth_azimuth_deg,truth_elevation_deg,moving_conditional_rmse_deg,moving_conditional_median_deg,moving_conditional_p95_deg,moving_conditional_p99_deg,moving_successful_trial_count,moving_unsuccessful_trial_count,moving_coverage,moving_failure_fraction,moving_boundary_hit_fraction,static_conditional_rmse_deg,static_conditional_median_deg,static_conditional_p95_deg,static_conditional_p99_deg,static_successful_trial_count,static_unsuccessful_trial_count,static_coverage,static_failure_fraction,static_boundary_hit_fraction,motion_induced_excess_rmse_deg,conditional_mean_along_track_angular_lag_deg,angular_lag_definition,doa_change_within_frame_deg,max_tdoa_change_within_frame_us,doppler_factor,runtime_accounting,gcc_frontend_pair_count,estimator_backend_pair_count,mean_moving_shared_gcc_frontend_runtime_s,mean_moving_estimator_backend_runtime_s,mean_moving_total_runtime_per_estimate_s,mean_static_shared_gcc_frontend_runtime_s,mean_static_estimator_backend_runtime_s,mean_static_total_runtime_per_estimate_s,independent_framewise_doa_not_tracking
paired_framewise_moving_source,square_approach_v0_R10_N256_deterministic_multisine_snr-6,square,approach,0.0,10.0,256,5.333333333333333,deterministic_multisine,-6.0,-6.0,-6.0,-6.0,-6.000000000000001,-6.000000000000001,-6.00129738600746,-6.00129738600746,20log10(full_frame_clean_rms/full_frame_realized_noise_rms),2.0317020409159023,all_6_equal_gcc_wls,20,3598736034,291372262,all_configuration_factors_except_snr,True,array_centroid_emission_time_at_selected_reception_sample,0.029164935617103982,1.041666666666552e-05,45.0,29.999999999999993,19.820652914562963,4.083495960246131,36.66102982068197,58.7629183535749,20,0,1.0,0.0,0.05,19.820652914562963,4.083495960246131,36.66102982068197,58.7629183535749,20,0,1.0,0.0,0.05,0.0,,signed_log_map_projection_on_instantaneous_doa_tangent,0.0,0.0,1.0,shared_all_6_gcc_frontend_plus_estimator_backend,6,6,0.0009813399985432625,0.0009919700038153677,0.0019733100023586305,0.0009765800088644028,0.0009925650141667576,0.00196914502303116,True
paired_framewise_moving_source,square_approach_v0_R10_N256_deterministic_multisine_snr-6,square,approach,0.0,10.0,256,5.333333333333333,deterministic_multisine,-6.0,-6.0,-6.0,-6.0,-6.000000000000001,-6.000000000000001,-6.00129738600746,-6.00129738600746,20log10(full_frame_clean_rms/full_frame_realized_noise_rms),2.0317020409159023,equal_weight_srp_phat,20,3598736034,291372262,all_configuration_factors_except_snr,True,array_centroid_emission_time_at_selected_reception_sample,0.029164935617103982,1.041666666666552e-05,45.0,29.999999999999993,4.164904371413931,1.8227824373806993,8.629631652046006,10.860043630679876,20,0,1.0,0.0,0.0,4.164904371413931,1.8227824373806993,8.629631652046006,10.860043630679876,20,0,1.0,0.0,0.0,0.0,,signed_log_map_projection_on_instantaneous_doa_tangent,0.0,0.0,1.0,shared_all_6_gcc_frontend_plus_estimator_backend,6,6,0.0009813399985432625,0.0038444649951998146,0.004825804993743077,0.0009765800088644028,0.003944319998845458,0.004920900007709861,True
paired_framewise_moving_source,square_approach_v0_R10_N256_deterministic_multisine_snr5,square,approach,0.0,10.0,256,5.333333333333333,deterministic_multisine,5.0,5.0,5.0,5.0,4.999999999999999,4.999999999999999,5.005614727471263,5.005614727471263,20log10(full_frame_clean_rms/full_frame_realized_noise_rms),0.5726114353532534,reference_3_gcc_wls,20,3598736034,3196173806,all_configuration_factors_except_snr,True,array_centroid_emission_time_at_selected_reception_sample,0.029164935617103982,1.041666666666552e-05,45.0,29.999999999999993,0.9384270141729528,0.8907933692937424,1.4614194060313217,1.550595517896032,20,0,1.0,0.0,0.0,0.9384270141729528,0.8907933692937424,1.4614194060313217,1.550595517896032,20,0,1.0,0.0,0.0,0.0,,signed_log_map_projection_on_instantaneous_doa_tangent,0.0,0.0,1.0,shared_all_6_gcc_frontend_plus_estimator_backend,6,3,0.0009733350016176701,0.0010132750088814647,0.0019866100104991347,0.000975425005890429,0.0010612950252834707,0.0020367200311739,True
paired_framewise_moving_source,square_approach_v0_R10_N256_deterministic_multisine_snr5,square,approach,0.0,10.0,256,5.333333333333333,deterministic_multisine,5.0,5.0,5.0,5.0,4.999999999999999,4.999999999999999,5.005614727471263,5.005614727471263,20log10(full_frame_clean_rms/full_frame_realized_noise_rms),0.5726114353532534,all_6_equal_gcc_wls,20,3598736034,3196173806,all_configuration_factors_except_snr,True,array_centroid_emission_time_at_selected_reception_sample,0.029164935617103982,1.041666666666552e-05,45.0,29.999999999999993,0.6356716073135461,0.5796644186697179,1.1401017098065012,1.153633205935088,20,0,1.0,0.0,0.0,0.6356716073135461,0.5796644186697179,1.1401017098065012,1.153633205935088,20,0,1.0,0.0,0.0,0.0,,signed_log_map_projection_on_instantaneous_doa_tangent,0.0,0.0,1.0,shared_all_6_gcc_frontend_plus_estimator_backend,6,6,0.0009733350016176701,0.0009701350005343557,0.0019434700021520256,0.000975425005890429,0.0009733750019222498,0.0019488000078126788,True
paired_framewise_moving_source,square_approach_v0_R10_N256_deterministic_multisine_snr5,square,approach,0.0,10.0,256,5.333333333333333,deterministic_multisine,5.0,5.0,5.0,5.0,4.999999999999999,4.999999999999999,5.005614727471263,5.005614727471263,20log10(full_frame_clean_rms/full_frame_realized_noise_rms),0.5726114353532534,equal_weight_srp_phat,20,3598736034,3196173806,all_configuration_factors_except_snr,True,array_centroid_emission_time_at_selected_reception_sample,0.029164935617103982,1.041666666666552e-05,45.0,29.999999999999993,0.6292006647991455,0.5373459222873016,1.0840014317607771,1.1241864212051154,20,0,1.0,0.0,0.0,0.6292006647991455,0.5373459222873016,1.0840014317607771,1.1241864212051154,20,0,1.0,0.0,0.0,0.0,,signed_log_map_projection_on_instantaneous_doa_tangent,0.0,0.0,1.0,shared_all_6_gcc_frontend_plus_estimator_backend,6,6,0.0009733350016176701,0.0038917549944017084,0.0048650899960193785,0.000975425005890429,0.003850235021673143,0.004825660027563572,True
paired_framewise_moving_source,square_approach_v0_R10_N256_deterministic_multisine_snr20,square,approach,0.0,10.0,256,5.333333333333333,deterministic_multisine,20.0,20.0,20.0,20.0,20.0,20.0,20.013486748747383,20.013486748747383,20log10(full_frame_clean_rms/full_frame_realized_noise_rms),0.10182631254415242,reference_3_gcc_wls,20,3598736034,1612212522,all_configuration_factors_except_snr,True,array_centroid_emission_time_at_selected_reception_sample,0.029164935617103982,1.041666666666552e-05,45.0,29.999999999999993,0.6164580945277943,0.51766340670093,0.8265327851191355,0.8766923763412519,20,0,1.0,0.0,0.0,0.6164580945277943,0.51766340670093,0.8265327851191355,0.8766923763412519,20,0,1.0,0.0,0.0,0.0,,signed_log_map_projection_on_instantaneous_doa_tangent,0.0,0.0,1.0,shared_all_6_gcc_frontend_plus_estimator_backend,6,3,0.0009841049904935062,0.0010648699884768576,0.002048974978970364,0.000988829997368157,0.0010297650063876063,0.0020185950037557633,True
paired_framewise_moving_source,square_approach_v0_R10_N256_deterministic_multisine_snr20,square,approach,0.0,10.0,256,5.333333333333333,deterministic_multisine,20.0,20.0,20.0,20.0,20.0,20.0,20.013486748747383,20.013486748747383,20log10(full_frame_clean_rms/full_frame_realized_noise_rms),0.10182631254415242,all_6_equal_gcc_wls,20,3598736034,1612212522,all_configuration_factors_except_snr,True,array_centroid_emission_time_at_selected_reception_sample,0.029164935617103982,1.041666666666552e-05,45.0,29.999999999999993,0.3868099513890591,0.34338977344664945,0.5634374679351342,0.5888438278293785,20,0,1.0,0.0,0.0,0.3868099513890591,0.34338977344664945,0.5634374679351342,0.5888438278293785,20,0,1.0,0.0,0.0,0.0,,signed_log_map_projection_on_instantaneous_doa_tangent,0.0,0.0,1.0,shared_all_6_gcc_frontend_plus_estimator_backend,6,6,0.0009841049904935062,0.0009812099917326123,0.0019653149822261183,0.000988829997368157,0.0009765349968802184,0.0019653649942483753,True
paired_framewise_moving_source,square_approach_v0_R10_N256_deterministic_multisine_snr20,square,approach,0.0,10.0,256,5.333333333333333,deterministic_multisine,20.0,20.0,20.0,20.0,20.0,20.0,20.013486748747383,20.013486748747383,20log10(full_frame_clean_rms/full_frame_realized_noise_rms),0.10182631254415242,equal_weight_srp_phat,20,3598736034,1612212522,all_configuration_factors_except_snr,True,array_centroid_emission_time_at_selected_reception_sample,0.029164935617103982,1.041666666666552e-05,45.0,29.999999999999993,0.33796948357758994,0.29361735943432843,0.5182032852948648,0.531099681985027,20,0,1.0,0.0,0.0,0.33796948357758994,0.29361735943432843,0.5182032852948648,0.531099681985027,20,0,1.0,0.0,0.0,0.0,,signed_log_map_projection_on_instantaneous_doa_tangent,0.0,0.0,1.0,shared_all_6_gcc_frontend_plus_estimator_backend,6,6,0.0009841049904935062,0.0038895000005140902,0.004873604991007596,0.000988829997368157,0.0038425549922976644,0.004831384989665821,True
paired_framewise_moving_source,square_approach_v0_R10_N512_random_broadband_snr-6,square,approach,0.0,10.0,512,10.666666666666666,random_broadband,-6.0,-6.0,-6.0,-6.0,-6.000000000000001,-6.000000000000001,-6.000746846285092,-6.000746846285092,20log10(full_frame_clean_rms/full_frame_realized_noise_rms),2.124446516109466,reference_3_gcc_wls,20,2973853681,2944130400,all_configuration_factors_except_snr,True,array_centroid_emission_time_at_selected_reception_sample,0.029164935617103982,1.041666666666552e-05,45.0,29.999999999999993,1.5424553937050038,1.5152530227738188,2.353815675041692,2.746751168094645,20,0,1.0,0.0,0.0,1.5424553937050038,1.5152530227738188,2.353815675041692,2.746751168094645,20,0,1.0,0.0,0.0,0.0,,signed_log_map_projection_on_instantaneous_doa_tangent,0.0,0.0,1.0,shared_all_6_gcc_frontend_plus_estimator_backend,6,3,0.0011869349982589483,0.0010247849917504937,0.002211719990009442,0.0011608249915298074,0.0010263599979225546,0.002187184989452362,True
paired_framewise_moving_source,square_approach_v0_R10_N512_random_broadband_snr-6,square,approach,0.0,10.0,512,10.666666666666666,random_broadband,-6.0,-6.0,-6.0,-6.0,-6.000000000000001,-6.000000000000001,-6.000746846285092,-6.000746846285092,20log10(full_frame_clean_rms/full_frame_realized_noise_rms),2.124446516109466,all_6_equal_gcc_wls,20,2973853681,2944130400,all_configuration_factors_except_snr,True,array_centroid_emission_time_at_selected_reception_sample,0.029164935617103982,1.041666666666552e-05,45.0,29.999999999999993,1.2203391094189877,1.1483590902101124,1.9349424878386023,2.043771502802894,20,0,1.0,0.0,0.0,1.2203391094189877,1.1483590902101124,1.9349424878386023,2.043771502802894,20,0,1.0,0.0,0.0,0.0,,signed_log_map_projection_on_instantaneous_doa_tangent,0.0,0.0,1.0,shared_all_6_gcc_frontend_plus_estimator_backend,6,6,0.0011869349982589483,0.0009778649953659623,0.002164799993624911,0.0011608249915298074,0.0009832650132011623,0.0021440900047309695,True
