duration_s,frame_group_count,event_count,confirmed,first_confirmation_time_s,accepted_update_count,accepted_post_init_frame_group_count,rejected_update_count,failure_reason,batch_optimization_count
2.0,3,9,False,nan,0,0,0,tentative_initialization_unconfirmed,1
4.5,7,21,True,2.5793125,9,3,2,,2
