split,sequence_count,dependent_frame_count,estimator_variant,geometry,snr_db,signal_model,trajectory_kind,quality_metric,quality_sample_count,quality_mean,quality_p50,spearman_correlation_with_absolute_angular_error,pearson_correlation_with_absolute_angular_error,sequence_seeds_json,seed_scope,quality_score_probability_claimed,quality_metric_uses_truth_online,offline_error_correlation_uses_truth,overlapping_frames_are_statistically_dependent,dependent_frames_are_independent_trials
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_minimum_peak_ratio,60,1.6647119571476565,1.6490137958276712,-0.06435120866907476,-0.13766269433089998,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_mean_peak_curvature,60,0.00896941376606213,0.00895154431963598,-0.20116699083078635,-0.22227839638758376,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_total_spectral_energy,60,13423189.120420566,13415043.28931892,-0.01467074187274243,-0.011597307529208248,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_boundary_count,60,0.0,0.0,,,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,stationary,gcc_valid_pair_count,60,6.0,6.0,,,"[3990728123, 3443452449, 1734648408]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,srp_peak_score,60,0.12482713810613814,0.12529915290775123,0.019727702139483196,0.05156782479666699,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,srp_score_margin,60,0.03919600042936092,0.03930151082285542,-0.5943317588218952,-0.6250977601335994,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,srp_local_curvature_eigenvalue_min,60,18.58895554212479,18.92134171178752,-0.18249513753820507,-0.14414914061196477,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,srp_local_curvature_eigenvalue_max,60,20.79277101609028,20.96875880250946,-0.19277577104751323,-0.13804006853702025,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,stationary,srp_used_spectral_energy,60,13470644.509118976,13532377.948084734,0.019116421228118925,0.01262299089448559,"[1334403719, 779601157, 3088553333]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
