study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,seed,estimator_variant,propagation_model,distance_m,true_tdoa_s,true_tdoa_us,bias_s,bias_us,standard_deviation_us,rmse_us,median_absolute_error_us,p95_absolute_error_us,catastrophic_outlier_fraction_gt_1_sample,mean_peak_value,mean_peak_to_second_peak_ratio,median_peak_to_second_peak_ratio,mean_peak_curvature,mean_used_spectral_energy,mean_spectral_energy_fraction,boundary_hit_fraction,invalid_fraction
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,0-3,1000,2000,686625521,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-7.461421822724157e-06,-7.461421822724157,65.41703352817467,65.82492990581258,7.064856149683035,28.074574231028027,0.092,0.024408559340944568,1.51973889145665,1.504729378324202,0.0013824593547067969,176883.78033436576,0.8221031108830137,0.001,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,1-2,1000,2000,686625521,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-5.057644815242187e-06,-5.057644815242187,57.77246440786137,57.979035745801056,6.949976353068046,29.27124943739989,0.104,0.024416032287185623,1.515746351397718,1.4943444925156002,0.0013781076427635236,173937.07723871118,0.8218592921462646,0.0005,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,1-3,1000,2000,686625521,gcc_phat_pair,plane,20.0,-1.9304427175766277e-20,-1.9304427175766277e-14,-9.501208662724286e-07,-0.9501208662724285,70.95262285268686,70.94124528080481,7.830348576429817,37.34068892927691,0.12,0.024633228983426996,1.493721469055984,1.48260759095171,0.0014023239324253297,176468.55327338638,0.8223615393849515,0.001,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,2-3,1000,2000,686625521,gcc_phat_pair,plane,20.0,-0.00025248554046193545,-252.48554046193544,7.530600921659076e-06,7.530600921659076,66.18590417949592,66.59649822132302,7.533754026496078,31.651128367476886,0.1,0.024200236596976406,1.5058704345971523,1.4821849645947676,0.0013493063998907485,174001.67123558527,0.82195522008373,0.0005,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-6.0,-6.0,2048,0-1,1000,2000,3690967975,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-1.1273381010215498e-06,-1.1273381010215497,12.811788744041875,12.85490879334237,5.37256820043431,16.997421682936594,0.026,0.029776395042495307,1.5709613002617313,1.5377522550948637,0.001660240202105065,133207.21903964056,0.8426670965907161,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-6.0,-6.0,2048,0-2,1000,2000,3690967975,gcc_phat_pair,plane,20.0,0.0005049710809238709,504.9710809238709,-1.979322343562338e-06,-1.9793223435623382,37.38031283268744,37.4140109667733,5.3986929177384235,16.471483394166174,0.027,0.029510068942688,1.586975855436209,1.5596821583526324,0.001689022970621827,130952.96915811191,0.8417602320052557,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-6.0,-6.0,2048,0-3,1000,2000,3690967975,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-6.281391545659204e-07,-0.6281391545659204,22.328104606783935,22.325775907539096,5.363580866267421,17.772445018076,0.029,0.029661693863379048,1.578315258402059,1.5548227570626032,0.0016683870884589194,133093.89931870933,0.8423481073249902,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-6.0,-6.0,2048,1-2,1000,2000,3690967975,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-9.230078818810763e-09,-0.009230078818810763,8.321229628454658,8.317073094622721,5.2368563133238135,16.974595561838406,0.017,0.029898064254969568,1.574059429020978,1.5551227339814986,0.0016773953393907728,130692.00878804698,0.8413588366738946,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-6.0,-6.0,2048,1-3,1000,2000,3690967975,gcc_phat_pair,plane,20.0,-1.9304427175766277e-20,-1.9304427175766277e-14,1.1180523284581565e-06,1.1180523284581565,20.327561172148048,20.348134422432544,5.351328340262013,17.346683063603667,0.026,0.02994077725901235,1.5796508877131277,1.554929064191625,0.001685109353685023,132893.0885152791,0.8423421214750157,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-6.0,-6.0,2048,2-3,1000,2000,3690967975,gcc_phat_pair,plane,20.0,-0.00025248554046193545,-252.48554046193544,-2.744788351814069e-07,-0.27447883518140687,9.337624472845107,9.336989782367898,5.078420963772922,15.115908457633227,0.013,0.02955044271364642,1.5744743249590174,1.5556221436952402,0.001655852791293508,130593.91005755233,0.8411656625691663,0.0,0.0
