geometry,profile,variant,independent_sequence_count,dependent_epoch_count,final_valid_count,final_invalid_count,conditional_error_sequence_count,final_valid_fraction,final_valid_ci95_low,final_valid_ci95_high,conditional_position_rmse_m,conditional_position_p95_m,conditional_position_maximum_m,conditional_velocity_rmse_mps,conditional_velocity_p95_mps,conditional_velocity_maximum_mps,conditional_position_error_gt_10m_fraction,conditional_position_error_gt_50m_fraction,conditional_state_95_coverage_fraction,state_95_covered_count,unconditional_valid_and_covered_fraction,unconditional_valid_and_covered_ci95_low,unconditional_valid_and_covered_ci95_high,mean_confirmed_epoch_fraction,mean_first_confirmation_time_s,p95_first_confirmation_time_s,mean_hypothesis_count,sequence_with_reset_count,sequence_with_reset_fraction,total_reset_count,false_reset_count_evaluator_only,false_reset_rate_per_sequence_evaluator_only,completed_recovery_count,censored_recovery_count,mean_completed_recovery_duration_s,final_failure_reason_counts_json,mean_runtime_s,p95_method,truth_used_by_estimator,selection_covariance_assumed_calibrated,diagnostic_position_thresholds_m,paired_vs_c1_baseline_valid_fraction_difference,paired_vs_c1_baseline_valid_difference_ci95_low,paired_vs_c1_baseline_valid_difference_ci95_high,paired_vs_c1_baseline_position_rmse_difference_m,paired_vs_c1_baseline_position_rmse_difference_ci95_low_m,paired_vs_c1_baseline_position_rmse_difference_ci95_high_m,paired_vs_d2_combined_published_valid_fraction_difference,paired_vs_d2_combined_published_valid_difference_ci95_low,paired_vs_d2_combined_published_valid_difference_ci95_high,paired_vs_d2_combined_published_position_rmse_difference_m,paired_vs_d2_combined_published_position_rmse_difference_ci95_low_m,paired_vs_d2_combined_published_position_rmse_difference_ci95_high_m
informative,nominal,c1_baseline,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.7401084487131955,1.3365798160625306,2.0301793726118476,0.07043286796877249,0.12643991225129725,0.1801936683918697,0.0,0.0,0.97,97,0.97,0.9154806357094724,0.9897454759759611,0.842222222222222,1.9277667633152327,2.0622772773463987,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.1251104249909986,linear,False,False,"10,50",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01999878633842056,-0.050029391004869944,0.004235484950894439
informative,nominal,d2_combined_published,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.760107235051616,1.4408103725140131,2.0301793726118476,0.0719966170083391,0.1375225352500802,0.1801936683918697,0.0,0.0,0.96,96,0.96,0.9016292856411208,0.9843366960084523,0.842222222222222,1.9277667633152327,2.0622772773463987,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.17572823500900994,linear,False,False,"10,50",0.0,0.0,0.0,0.01999878633842056,-0.005591131593812052,0.04858060580008774,0.0,0.0,0.0,0.0,0.0,0.0
informative,nominal,confirmed_recovery,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.7546211885316442,1.3863959866056927,2.028886165136035,0.07190873245778988,0.1354440694033281,0.17997615606617834,0.0,0.0,0.96,96,0.96,0.9016292856411208,0.9843366960084523,0.7162962962962963,3.5573973992384036,5.031171416461292,1.18,0,0.0,0,0,0.0,0,0,nan,{},0.4058859309920808,linear,False,False,"10,50",0.0,0.0,0.0,0.014512739818448694,-0.009770271416936482,0.03977636835944982,0.0,0.0,0.0,-0.0054860465199718655,-0.01792216076345369,0.0052864097824608155
informative,dropout_20,c1_baseline,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.8120738941729855,1.4175995200686586,2.025083032701666,0.07717985969006248,0.13471499129290945,0.17802744354498568,0.0,0.0,0.98,98,0.98,0.929988209271456,0.9944980324498376,0.7981481481481479,2.4755105417319077,3.206082753429137,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.09906827598751988,linear,False,False,"10,50",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03997757890818898,-0.07392022388096657,-0.011091763928658785
informative,dropout_20,d2_combined_published,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.8520514730811745,1.6231640405883907,2.025083032701666,0.08046855314284862,0.1377490977180533,0.20100718897735287,0.0,0.0,0.98,98,0.98,0.929988209271456,0.9944980324498376,0.7981481481481479,2.4755105417319077,3.206082753429137,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.15080365099362097,linear,False,False,"10,50",0.0,0.0,0.0,0.03997757890818898,0.0114533129494408,0.07300907043898167,0.0,0.0,0.0,0.0,0.0,0.0
informative,dropout_20,confirmed_recovery,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.8508038658905679,1.6403150821886427,2.024784832134214,0.0809807665335595,0.14364081289199182,0.20542069779014097,0.0,0.0,0.98,98,0.98,0.929988209271456,0.9944980324498376,0.6714814814814817,4.181370572192541,6.443281684863419,1.16,0,0.0,0,0,0.0,0,0,nan,{},0.404937316008145,linear,False,False,"10,50",0.0,0.0,0.0,0.03872997171758241,0.011434670769667601,0.06880493528485199,0.0,0.0,0.0,-0.00124760719060657,-0.013028067666081517,0.009964538927643174
informative,dropout_50,c1_baseline,100,2700,100,0,100,1.0,0.9630065017930143,1.0,1.1397136052063521,1.8552472243073908,3.230248779033135,0.10317504472828007,0.1609017461643091,0.29103699750038337,0.0,0.0,0.96,96,0.96,0.9016292856411208,0.9843366960084523,0.7114814814814815,3.637565270772385,5.692638767115964,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.07628049601567909,linear,False,False,"10,50",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.822716270170446,-19.518311216660404,0.0023161386543274604
informative,dropout_50,d2_combined_published,100,2700,100,0,100,1.0,0.9630065017930143,1.0,11.962429875376799,2.2143614381394316,119.09716296502837,0.8590519885572828,0.17318294379493912,8.526431646247307,0.01,0.01,0.97,97,0.97,0.9154806357094724,0.9897454759759611,0.7114814814814815,3.637565270772385,5.692638767115964,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.1288725329953013,linear,False,False,"10,50",0.0,0.0,0.0,10.822716270170446,-0.000684793633770353,19.498580973954002,0.0,0.0,0.0,0.0,0.0,0.0
informative,dropout_50,confirmed_recovery,100,2700,99,1,99,0.99,0.9455138038212946,0.9982325679358593,1.1126187614838976,2.134204218407513,3.150391686552925,0.10511442319640667,0.16612655661932163,0.2921539586893937,0.0,0.0,0.9595959595959596,95,0.95,0.8882495307680808,0.9784563208456319,0.4766666666666666,6.762643020669873,10.521594328375844,1.43,0,0.0,0,0,0.0,0,0,nan,"{""tentative_initialization_unconfirmed"": 1}",0.7305320539989043,linear,False,False,"10,50",-0.01,-0.03,0.0,-0.02709484372245452,-0.1364294018782751,0.04889758868912819,-0.01,-0.03,0.0,-10.849811113892901,-19.63579039626709,0.01728499078462909
informative,one_station_gap,c1_baseline,100,2700,100,0,100,1.0,0.9630065017930143,1.0,0.758365875157706,1.3896433329876325,1.8935499031011973,0.07303167003727724,0.14353535987446994,0.17888720034925834,0.0,0.0,0.94,94,0.94,0.8752318455410406,0.9722138760368118,0.842222222222222,1.9277667633152327,2.0622772773463987,1.0,0,0.0,0,0,0.0,0,0,nan,{},0.10917879201006145,linear,False,False,"10,50",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017682579705581736,-0.038296162364038704,0.00044238230891337503
