array,noise_model,azimuth_deg,elevation_deg,sigma_tdoa_us,sigma_toa_us,marginal_tdoa_std_us,n_trials,seed,bias_azimuth_rad,bias_elevation_rad,bias_azimuth_deg,bias_elevation_deg,physical_bias_rad,physical_bias_deg,emp_cov_phi_phi_rad2,emp_cov_phi_elevation_rad2,emp_cov_elevation_elevation_rad2,crlb_phi_phi_rad2,crlb_phi_elevation_rad2,crlb_elevation_elevation_rad2,normalized_cov_eigenvalue_min,normalized_cov_eigenvalue_max,normalized_cov_frobenius_error,whitened_bias_norm,geodesic_rmse_rad,geodesic_rmse_deg,median_geodesic_error_rad,median_geodesic_error_deg,p95_geodesic_error_rad,p95_geodesic_error_deg,fraction_over_10deg,angular_crlb_rms_rad,angular_crlb_rms_deg,rmse_to_crlb_ratio,optimizer_success_fraction,boundary_fraction,fisher_rank,fisher_condition_number,fisher_eigenvalue_min,fisher_eigenvalue_max,direction_id,pair_scheme,bias_z_azimuth,bias_z_elevation,low_noise_ratio_pass,low_noise_covariance_pass,low_noise_bias_pass,low_noise_overall_pass
square,independent_tdoa,20.0,10.0,1.0,,1.0,2000,651498517,-2.004536219543196e-05,-0.00035846771182404226,-0.0011485146526093455,-0.02053868697922946,0.00035901086434050617,0.02056980732605475,5.402202049126939e-06,8.718943515441437e-06,8.74174578568767e-05,5.343137295056493e-06,8.783533606351464e-06,8.825602139617782e-05,0.9904605520114974,1.0142728513394315,0.017167275651158418,0.03886708157501926,0.009630167704357104,0.5517679654628508,0.006693968805910344,0.38353616077089003,0.01834143339127,1.0508867235400916,0.0,0.009666335571855105,0.5538402316244746,0.9962583683103958,1.0,0.0,2,20.162626756990147,11213.740882414006,226098.4719617149,az20_el10,reference_0,0.00867192954811661,0.03815732059253693,True,True,True,True
square,independent_tdoa,20.0,10.0,5.0,,5.0,2000,3180925944,0.0003206917311589066,-0.008980526251851764,0.018374282720149383,-0.5145462520375463,0.00898607777871472,0.5148643310966472,0.00013336259441163142,0.0002406513076150156,0.0029910754665496957,0.0001335784323764123,0.00021958834015878655,0.002206400534904445,0.9936575762141502,1.392085973222784,0.39213726772335367,0.22305632977894027,0.05656545446209297,3.2409618069173773,0.03365274733040162,1.928160391052161,0.11417300036334639,6.541631055165363,0.032,0.048331677859275515,2.7692011581223728,1.170359833705572,1.0,0.032,2,20.162626756990147,448.5496352965603,9043.938878468598,az20_el10,reference_0,0.027747227235508303,0.19118755077712912,,,,
square,independent_tdoa,20.0,10.0,10.0,,10.0,2000,1428164462,0.0009634264353638249,-0.025274167102024483,0.05520026861768057,-1.4481031056543936,0.025291969571966735,1.4491231120469932,0.0005110655748346454,0.0006936368668553563,0.009104879394512556,0.0005343137295056492,0.0008783533606351462,0.00882560213961778,0.9270100917368616,1.141074637074704,0.15883821937437106,0.31537052874538674,0.10116850728259957,5.796528486931488,0.06746630809192927,3.8655347129968614,0.17656888059876633,10.116651651658675,0.2025,0.09666335571855103,5.5384023162447455,1.0466066125116318,1.0,0.198,2,20.162626756990147,112.13740882414008,2260.9847196171495,az20_el10,reference_0,0.04167929763909249,0.2690324581575374,,,,
square,independent_tdoa,20.0,10.0,20.0,,20.0,2000,644533757,0.002933134353190178,-0.020521803001406217,0.16805621918263178,-1.1758126999794816,0.020724098412574953,1.1874033732543139,0.0019884404800354096,0.0017490907699453636,0.017631928293176544,0.0021372549180225966,0.003513413442540585,0.03530240855847112,0.49945297812143125,1.015297515556305,0.5007807255612977,0.1605565529780782,0.1413189967857906,8.096982080848647,0.13545951603362213,7.761258563611253,0.20262932568846906,11.609805167531071,0.414,0.19332671143710206,11.076804632489491,0.7309853653191016,1.0,0.3365,2,20.162626756990147,28.03435220603502,565.2461799042874,az20_el10,reference_0,0.06344593382259334,0.1092228100931327,,,,
square,independent_tdoa,20.0,10.0,49.99999999999999,,49.99999999999999,2000,3968314499,0.020961637968572554,0.016032696193300992,1.2010133872803879,0.9186058260916079,0.0261378724429716,1.4975897764335713,0.011819864751385573,0.005390347963756305,0.039681376837919564,0.013357843237641227,0.021958834015878653,0.2206400534904445,0.17881705617003874,0.9981248587343567,0.8211850847354738,0.18636945893063397,0.22688207785055092,12.999385507995145,0.18894950562784935,10.826009213559164,0.3893844305700013,22.31008447976591,0.7685,0.4833167785927552,27.692011581223728,0.46942727399439765,1.0,0.438,2,20.162626756990132,4.485496352965604,90.43938878468597,az20_el10,reference_0,0.18136648857161772,0.03413220819792125,,,,
square,independent_tdoa,20.0,10.0,99.99999999999999,,99.99999999999999,2000,2877137869,0.038642704246577425,0.04122040826394975,2.21406386230115,2.3617554233305014,0.05610127799671191,3.2143664545017425,0.046070772066067335,0.013772130883246978,0.07327744003667463,0.05343137295056491,0.08783533606351461,0.882560213961778,0.08185076218449772,0.9869812372193116,0.9182415319977242,0.16917785237588015,0.34438838009353423,19.732000692706727,0.258846132254691,14.830790921478922,0.6086869467942835,34.87519309601654,0.9325,0.9666335571855104,55.384023162447455,0.35627604435363225,1.0,0.5405,2,20.162626756990132,1.121374088241401,22.609847196171494,az20_el10,reference_0,0.1671742348718408,0.04387732231389489,,,,
square,independent_toa,20.0,10.0,,35.35533905932737,49.99999999999999,2000,2586129124,0.0015474324808420932,0.018860181008338906,0.08866135023371055,1.0806087726306086,0.018921648197621654,1.0841305831550418,0.007842585759362447,0.0004219493313727759,0.042400015444653105,0.0075816780671369936,4.002534862437154e-18,0.24385282848709347,0.17376353758331906,1.0345248140674406,0.8269574684427384,0.042125128750550814,0.22400624422558202,12.834612378702618,0.18610779795287086,10.663191357172963,0.4028115143187496,23.07939970973788,0.7595,0.5012044403106316,28.716899103015777,0.4469358732870555,1.0,0.4465,2,32.163437477526344,4.100834122795207,131.89692191423023,az20_el10,reference_0,0.017771702675174444,0.03819284037978427,,,,
square,independent_tdoa,45.0,29.999999999999996,1.0,,1.0,2000,1975321369,-2.0017550039717947e-05,1.5898402231168119e-06,-0.0011469211334677717,9.109113488473046e-05,1.740845553544309e-05,0.0009974310300220448,8.065123394619055e-06,2.481809481586998e-08,7.8783273098408e-06,7.843266666666667e-06,4.865882138493641e-22,7.843266666666667e-06,1.0040569193332067,1.0286995050044232,0.028984826754270176,0.007170143943036774,0.0037309296332434217,0.21376652164514018,0.0030250241567550133,0.173321117107183,0.006482978251212971,0.3714472924696064,0.0,0.0037048234325898267,0.21227074652856753,1.0070465438174325,1.0,0.0,2,1.0,127497.8962847113,127497.8962847113,az45_el30,reference_0,0.007147636078416634,0.0005676818249546283,True,True,True,True
square,independent_tdoa,45.0,29.999999999999996,5.0,,5.0,2000,896157335,0.0003308715282468717,-0.001199498456026352,0.01895754212958935,-0.06872619906276853,0.0012332491727801472,0.07065997268830249,0.00018876794014180537,1.9033641814761355e-06,0.00019246398376003988,0.00019608166666666664,1.2164705346234102e-20,0.00019608166666666664,0.9585957016499236,0.9856550301124131,0.04381887815699885,0.08885977457493996,0.01831682742579552,1.0494769055675595,0.01502754179755695,0.8610147214564517,0.03133284813040891,1.7952399579968026,0.0,0.018524117162949133,1.0613537326428375,0.9888097373100069,1.0,0.0,2,1.0,5099.915851388453,5099.915851388453,az45_el30,reference_0,0.02362875844372323,0.08566061704142297,,,,
square,independent_tdoa,45.0,29.999999999999996,10.0,,10.0,2000,1756401967,0.00039019069506641626,-0.0017615158039954472,0.022356280032581725,-0.10092742111453308,0.0017936344420235236,0.10276768351725024,0.0007839613783877359,5.206031574202522e-06,0.0007845881080663453,0.0007843266666666665,4.8658821384936406e-20,0.0007843266666666665,0.9932842043492198,1.0065833930643764,0.009404412552792243,0.06442277990430337,0.0370846311440164,2.1247928493515498,0.03062417908533389,1.7546362126424377,0.06420848188184602,3.678875020771991,0.0,0.037048234325898266,2.122707465285675,1.000982417078179,1.0,0.0,2,1.0,1274.9789628471133,1274.9789628471133,az45_el30,reference_0,0.013932479669017865,0.06289817629208909,,,,
