sequence_name,frame_index,estimator_variant,frame_start_sample,frame_end_sample_inclusive,maximum_reception_sample_used,frame_length,hop_length,overlap_samples,overlap_fraction,frame_content_sha256,frame_start_reception_time_s,frame_center_reception_time_s,frame_end_reception_time_s,frame_reception_span_s,nominal_frame_duration_s,centroid_emission_time_s,estimate_reference_timestamp_s,estimate_available_reception_time_s,physical_propagation_delay_s,frame_acquisition_latency_s,frame_acquisition_latency_definition,shared_gcc_frontend_runtime_s,estimator_backend_runtime_s,algorithm_runtime_s,total_emission_to_available_latency_s,truth_x,truth_y,truth_z,truth_azimuth_deg,truth_elevation_deg,truth_distance_m,estimate_x,estimate_y,estimate_z,estimate_azimuth_deg,estimate_elevation_deg,valid,boundary_hit,quality_score_probability_claimed,gcc_peak_ratios_used_pairs,gcc_peak_curvatures_used_pairs,gcc_spectral_energies_used_pairs,gcc_mean_peak_ratio,gcc_minimum_peak_ratio,gcc_mean_peak_curvature,gcc_total_spectral_energy,gcc_boundary_count,gcc_valid_pair_count,srp_peak_score,srp_score_margin,srp_local_negative_score_hessian,srp_local_curvature_eigenvalues,srp_used_spectral_energy,srp_mean_spectral_energy_fraction,geodesic_angular_error_deg,nominal_stream_snr_db,effective_stream_snr_db,base_seed,source_seed,noise_seed,chunk_size_samples,fir_length,maximum_interpolation_working_set_elements,truth_definition,truth_used_by_estimator,future_samples_used,future_doa_estimates_used,frame_samples_from_single_continuous_stream,sequential_independent_bearings_not_tracking,frame_count_is_independent_trial_count
stationary,0,reference_3_gcc_wls,0,1023,1023,1024,256,768,0.75,7949ccf53757f602dbdcebbb0e6ab51461eff7d88ea93d069b09471846de1ce8,0.1,0.11065625000000001,0.1213125,0.021312499999999998,0.021333333333333333,0.037769952623906713,0.037769952623906713,0.12450039994344116,0.0728862973760933,0.010656249999999992,frame_center_reception_to_frame_end_reception,0.001567699946463108,0.0016201999969780445,0.0031878999434411526,0.08673044731953444,0.6123724356957946,0.6123724356957946,0.49999999999999994,45.0,29.999999999999996,25.0,0.6122208895190409,0.6120954316852603,0.5005244898569394,44.9941288013295,30.03470604045748,True,False,False,"(2.0490818710749847, 2.0353385890459217, 1.7115155314095967)","(0.027871167379270534, 0.02780776554846137, 0.02713216547486097)","(1033918.3030527708, 1033829.2236359131, 1026416.9527443915)",1.931978663843501,1.7115155314095967,0.027603699467530957,3094164.4794330755,0,3,,,,,,,0.03507639418994694,20.0,20.032810138847626,20260831,2467629128,958118639,4096,129,528384,array_centroid_emission_time_at_geometric_frame_center,False,False,False,True,True,False
stationary,0,all_6_equal_gcc_wls,0,1023,1023,1024,256,768,0.75,7949ccf53757f602dbdcebbb0e6ab51461eff7d88ea93d069b09471846de1ce8,0.1,0.11065625000000001,0.1213125,0.021312499999999998,0.021333333333333333,0.037769952623906713,0.037769952623906713,0.12416020003054291,0.0728862973760933,0.010656249999999992,frame_center_reception_to_frame_end_reception,0.001567699946463108,0.001280000084079802,0.00284770003054291,0.0863902474066362,0.6123724356957946,0.6123724356957946,0.49999999999999994,45.0,29.999999999999996,25.0,0.6123179331837479,0.6123626916907438,0.5000786763368844,45.00209399372778,30.00520532107184,True,False,False,"(2.0490818710749847, 2.0353385890459217, 1.7115155314095967, 2.193469093396086, 1.6766608530170781, 1.6714316195369165)","(0.027871167379270534, 0.02780776554846137, 0.02713216547486097, 0.028803336493288922, 0.027990941114364898, 0.02802226470959246)","(1033918.3030527708, 1033829.2236359131, 1026416.9527443915, 1035320.8725680409, 1028945.349336195, 1028715.3338558963)",1.8895829262467638,1.6714316195369165,0.027937940119973192,6187146.035193208,0,6,,,,,,,0.005512150380890772,20.0,20.032810138847626,20260831,2467629128,958118639,4096,129,528384,array_centroid_emission_time_at_geometric_frame_center,False,False,False,True,True,False
stationary,0,equal_weight_srp_phat,0,1023,1023,1024,256,768,0.75,7949ccf53757f602dbdcebbb0e6ab51461eff7d88ea93d069b09471846de1ce8,0.1,0.11065625000000001,0.1213125,0.021312499999999998,0.021333333333333333,0.037769952623906713,0.037769952623906713,0.1269388000005856,0.0728862973760933,0.010656249999999992,frame_center_reception_to_frame_end_reception,0.001567699946463108,0.004058600054122508,0.005626300000585616,0.08916884737667889,0.6123724356957946,0.6123724356957946,0.49999999999999994,45.0,29.999999999999996,25.0,0.6123119817242991,0.6123660860055127,0.5000818070547565,45.00253123416414,30.005412458780903,True,False,False,,,,,,,,,,0.3933445784036636,0.1380274715265999,"(61.67676413190358, -0.021742714842821358, -0.021742714842821358, 60.505544848108805)","(60.50514135164502, 61.67716762836737)",6187146.035193208,0.9929419955000519,0.005839504051735896,20.0,20.032810138847626,20260831,2467629128,958118639,4096,129,528384,array_centroid_emission_time_at_geometric_frame_center,False,False,False,True,True,False
stationary,1,reference_3_gcc_wls,256,1279,1279,1024,256,768,0.75,bfb0d9723d06e0d4b60eb885b2a2467497e73035b5a966e10534853957e9a8cb,0.10533333333333333,0.11598958333333334,0.12664583333333335,0.021312500000000012,0.021333333333333333,0.04310328595724004,0.04310328595724004,0.1291647333049526,0.0728862973760933,0.010656250000000006,frame_center_reception_to_frame_end_reception,0.0014924999559298158,0.0010264000156894326,0.0025188999716192484,0.08606144734771255,0.6123724356957946,0.6123724356957946,0.49999999999999994,45.0,29.999999999999996,25.0,0.6122564172604923,0.6117804856640569,0.5008659669851776,44.97772218274357,30.057308471318713,True,False,False,"(1.9825921523824583, 1.9657582347965692, 1.6790276997431355)","(0.02681835247963482, 0.026929328611159764, 0.02659913443898243)","(1061986.8179613021, 1060095.7582012035, 1063805.7505509409)",1.875792695640721,1.6790276997431355,0.026782271843259004,3185888.3267134465,0,3,,,,,,,0.060467112236459696,20.0,20.032810138847626,20260831,2467629128,958118639,4096,129,528384,array_centroid_emission_time_at_geometric_frame_center,False,False,False,True,True,False
stationary,1,all_6_equal_gcc_wls,256,1279,1279,1024,256,768,0.75,bfb0d9723d06e0d4b60eb885b2a2467497e73035b5a966e10534853957e9a8cb,0.10533333333333333,0.11598958333333334,0.12664583333333335,0.021312500000000012,0.021333333333333333,0.04310328595724004,0.04310328595724004,0.12911443327118954,0.0728862973760933,0.010656250000000006,frame_center_reception_to_frame_end_reception,0.0014924999559298158,0.0009760999819263816,0.0024685999378561974,0.0860111473139495,0.6123724356957946,0.6123724356957946,0.49999999999999994,45.0,29.999999999999996,25.0,0.6124892089870632,0.6121483902608683,0.5001312999357563,44.98405448754976,30.008687114081702,True,False,False,"(1.9825921523824583, 1.9657582347965692, 1.6790276997431355, 2.165633880083562, 1.656104425790225, 1.6757309337211026)","(0.02681835247963482, 0.026929328611159764, 0.02659913443898243, 0.028647410560114994, 0.027654658439464352, 0.027777970368232596)","(1061986.8179613021, 1060095.7582012035, 1063805.7505509409, 1067653.6497641276, 1072123.6163415753, 1069964.1634677418)",1.8541412210861754,1.656104425790225,0.027404475816264828,6395629.756286891,0,6,,,,,,,0.016313913723948296,20.0,20.032810138847626,20260831,2467629128,958118639,4096,129,528384,array_centroid_emission_time_at_geometric_frame_center,False,False,False,True,True,False
stationary,1,equal_weight_srp_phat,256,1279,1279,1024,256,768,0.75,bfb0d9723d06e0d4b60eb885b2a2467497e73035b5a966e10534853957e9a8cb,0.10533333333333333,0.11598958333333334,0.12664583333333335,0.021312500000000012,0.021333333333333333,0.04310328595724004,0.04310328595724004,0.13307593328443668,0.0728862973760933,0.010656250000000006,frame_center_reception_to_frame_end_reception,0.0014924999559298158,0.004937599995173514,0.00643009995110333,0.08997264732719663,0.6123724356957946,0.6123724356957946,0.49999999999999994,45.0,29.999999999999996,25.0,0.6124871633881229,0.6121592955064714,0.5001204570998785,44.98466051547264,30.00796969761938,True,False,False,,,,,,,,,,0.39275728592394094,0.1352548525712267,"(60.8505829630321, -0.0479650294985522, -0.0479650294985522, 59.71161984441807)","(59.70960346808091, 60.85259933936926)",6395629.756286891,0.9922872268913291,0.015491182823647807,20.0,20.032810138847626,20260831,2467629128,958118639,4096,129,528384,array_centroid_emission_time_at_geometric_frame_center,False,False,False,True,True,False
stationary,2,reference_3_gcc_wls,512,1535,1535,1024,256,768,0.75,d24d79a30fe82e492b0181f839f164bf107c32745116c82c6a0d05f62e87c6df,0.11066666666666668,0.12132291666666667,0.13197916666666668,0.021312499999999998,0.021333333333333333,0.04843661929057337,0.04843661929057337,0.13435216680789988,0.0728862973760933,0.010656250000000006,frame_center_reception_to_frame_end_reception,0.0013546000700443983,0.0010184000711888075,0.002373000141233206,0.08591554751732651,0.6123724356957946,0.6123724356957946,0.49999999999999994,45.0,29.999999999999996,25.0,0.6124750735968252,0.6115781051202764,0.5008457901989951,44.95801448845747,30.05597282291786,True,False,False,"(2.0228221135451747, 1.988771330589783, 1.6775628065343264)","(0.027065950932221694, 0.027245944333137595, 0.02621144645449308)","(1024752.747471461, 1020643.9537161409, 1028261.8171360322)",1.8963854168897614,1.6775628065343264,0.026841113906617458,3073658.518323634,0,3,,,,,,,0.06674052869812391,20.0,20.032810138847626,20260831,2467629128,958118639,4096,129,528384,array_centroid_emission_time_at_geometric_frame_center,False,False,False,True,True,False
stationary,2,all_6_equal_gcc_wls,512,1535,1535,1024,256,768,0.75,d24d79a30fe82e492b0181f839f164bf107c32745116c82c6a0d05f62e87c6df,0.11066666666666668,0.12132291666666667,0.13197916666666668,0.021312499999999998,0.021333333333333333,0.04843661929057337,0.04843661929057337,0.13431986667836707,0.0728862973760933,0.010656250000000006,frame_center_reception_to_frame_end_reception,0.0013546000700443983,0.0009860999416559935,0.0023407000117003918,0.0858832473877937,0.6123724356957946,0.6123724356957946,0.49999999999999994,45.0,29.999999999999996,25.0,0.6126527125519469,0.6117452362495972,0.5004242397493015,44.957534596768056,30.028071447244393,True,False,False,"(2.0228221135451747, 1.988771330589783, 1.6775628065343264, 2.111678336536301, 1.6681757751584014, 1.6955961033977258)","(0.027065950932221694, 0.027245944333137595, 0.02621144645449308, 0.02873336828102102, 0.027931469677971388, 0.02783088161267344)","(1024752.747471461, 1020643.9537161409, 1028261.8171360322, 1025074.5481334073, 1032986.229120986, 1028630.374161989)",1.8607677442936188,1.6681757751584014,0.027503176881919705,6160349.669740016,0,6,,,,,,,0.046261283018643316,20.0,20.032810138847626,20260831,2467629128,958118639,4096,129,528384,array_centroid_emission_time_at_geometric_frame_center,False,False,False,True,True,False
stationary,2,equal_weight_srp_phat,512,1535,1535,1024,256,768,0.75,d24d79a30fe82e492b0181f839f164bf107c32745116c82c6a0d05f62e87c6df,0.11066666666666668,0.12132291666666667,0.13197916666666668,0.021312499999999998,0.021333333333333333,0.04843661929057337,0.04843661929057337,0.1372141667144994,0.0728862973760933,0.010656250000000006,frame_center_reception_to_frame_end_reception,0.0013546000700443983,0.003880399977788329,0.005235000047832727,0.08877754742392603,0.6123724356957946,0.6123724356957946,0.49999999999999994,45.0,29.999999999999996,25.0,0.6126497631930152,0.6117489531284377,0.5004233068171415,44.95784657004052,30.028009707497233,True,False,False,,,,,,,,,,0.39231372024318434,0.1348195351964821,"(61.0985127462513, 0.03270207337326516, 0.03270207337326516, 59.80437383294724)","(59.80354799918974, 61.09933858000881)",6160349.669740016,0.9916520442704803,0.04600925116805095,20.0,20.032810138847626,20260831,2467629128,958118639,4096,129,528384,array_centroid_emission_time_at_geometric_frame_center,False,False,False,True,True,False
stationary,3,reference_3_gcc_wls,768,1791,1791,1024,256,768,0.75,634f674a622544982920fd861900eb518ca48e2eb0d243d43538d8d914322df0,0.116,0.12665625,0.1373125,0.021312499999999998,0.021333333333333333,0.0537699526239067,0.0537699526239067,0.1397115998743102,0.0728862973760933,0.010656250000000006,frame_center_reception_to_frame_end_reception,0.0013826999347656965,0.001016399939544499,0.0023990998743101954,0.0859416472504035,0.6123724356957946,0.6123724356957946,0.49999999999999994,45.0,29.999999999999996,25.0,0.6123631403174427,0.6113541777559756,0.5012558764951041,44.95275928312431,30.083122961234885,True,False,False,"(2.0271779259323597, 1.9695504435540891, 1.6912928634472928)","(0.02789795553394414, 0.027845848588805067, 0.026940573218254993)","(1027795.4759504548, 1027406.7010645118, 1024852.4416079905)",1.8960070776445805,1.6912928634472928,0.027561459113668068,3080054.618622957,0,3,,,,,,,0.09263793788746143,20.0,20.032810138847626,20260831,2467629128,958118639,4096,129,528384,array_centroid_emission_time_at_geometric_frame_center,False,False,False,True,True,False
