paired_session_id,snr_db,estimator_variant,recorded_calibration,broadband_calibration,same_trajectory_duration_timestamps,same_standardized_noise_realization,recorded_bearing_rmse_deg_conditional,broadband_bearing_rmse_deg_conditional,recorded_minus_broadband_bearing_rmse_deg_conditional,recorded_position_rmse_m_conditional,broadband_position_rmse_m_conditional,recorded_minus_broadband_position_rmse_m_conditional,recorded_velocity_rmse_mps_conditional,broadband_velocity_rmse_mps_conditional,recorded_minus_broadband_velocity_rmse_mps_conditional,recorded_coverage_conditional,broadband_coverage_conditional,recorded_minus_broadband_coverage_conditional,recorded_first_confirmation_time_s,broadband_first_confirmation_time_s,recorded_minus_broadband_first_confirmation_time_s,recorded_accepted_update_count,broadband_accepted_update_count,recorded_minus_broadband_accepted_update_count
simeonradivoev-mini-quadcopter-raw-speed-takes,-6.0,all_6_equal_gcc_wls,recorded_calibration_sessions_683298_263022,paired_random_broadband_calibration_sequences,True,True,84.64177892609486,0.4746413528154806,84.16713757327938,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
simeonradivoev-mini-quadcopter-raw-speed-takes,-6.0,equal_weight_srp_phat,recorded_calibration_sessions_683298_263022,paired_random_broadband_calibration_sequences,True,True,76.37926236328208,0.4707592781308463,75.90850308515124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
simeonradivoev-mini-quadcopter-raw-speed-takes,10.0,all_6_equal_gcc_wls,recorded_calibration_sessions_683298_263022,paired_random_broadband_calibration_sequences,True,True,48.026423915347024,0.08015602416850699,47.946267891178515,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
simeonradivoev-mini-quadcopter-raw-speed-takes,10.0,equal_weight_srp_phat,recorded_calibration_sessions_683298_263022,paired_random_broadband_calibration_sequences,True,True,34.8549508586325,0.08022979507243518,34.774721063560065,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
n-audioman-quadcopter-takeoff-hover-distance,-6.0,all_6_equal_gcc_wls,recorded_calibration_sessions_683298_263022,paired_random_broadband_calibration_sequences,True,True,9.260008367390105,0.47977529451257983,8.780233072877525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
n-audioman-quadcopter-takeoff-hover-distance,-6.0,equal_weight_srp_phat,recorded_calibration_sessions_683298_263022,paired_random_broadband_calibration_sequences,True,True,4.724989043919634,0.4784805794757142,4.24650846444392,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
n-audioman-quadcopter-takeoff-hover-distance,10.0,all_6_equal_gcc_wls,recorded_calibration_sessions_683298_263022,paired_random_broadband_calibration_sequences,True,True,0.34114655636546143,0.08189430945875241,0.259252246906709,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
n-audioman-quadcopter-takeoff-hover-distance,10.0,equal_weight_srp_phat,recorded_calibration_sessions_683298_263022,paired_random_broadband_calibration_sequences,True,True,0.34362432957146494,0.08194243236057741,0.2616818972108875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
