event_id,station_id,frame_index,estimator_variant,processing_time_s,reception_center_timestamp_s,true_emission_time_s_evaluator_only,update_motion_phase_evaluator_only,update_applied,failure_reason,pre_update_nis,truth_used_by_tracker,split,source_model_comparison,paired_recording_id,paired_session_id,paired_origin_asset_id,snr_db,trajectory_kind,sequence_seed,duration_s,frame_length_samples,hop_length_samples,tracker_frame_stride,batch_optimization_budget,qc_alpha_m2_s3,calibration_source_model,calibration_selection_keys,result_scope
s8-independent-evaluation-random_broadband-0-0|S1|192|all_6_equal_gcc_wls,S1,192,all_6_equal_gcc_wls,2.5943125,2.5586562500000003,2.375240110555998,before_manoeuvre,False,emission_outside_history,nan,False,evaluation,random_broadband,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,-6.0,constant_velocity,7051807767926021858,4.5,1024,512,64,4,1.0,random_broadband,station_id|estimator_variant|source_model,held_out_independent_recording_tracking_feasibility
s8-independent-evaluation-random_broadband-0-0|S2|192|all_6_equal_gcc_wls,S2,192,all_6_equal_gcc_wls,2.6093124999999997,2.5586562500000003,2.2733900908577027,before_manoeuvre,False,emission_outside_history,nan,False,evaluation,random_broadband,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,-6.0,constant_velocity,7051807767926021858,4.5,1024,512,64,4,1.0,random_broadband,station_id|estimator_variant|source_model,held_out_independent_recording_tracking_feasibility
s8-independent-evaluation-random_broadband-0-0|S0|256|all_6_equal_gcc_wls,S0,256,all_6_equal_gcc_wls,3.2619791666666664,3.2413229166666664,2.9181799061066336,during_manoeuvre,True,,6.465422366286363,False,evaluation,random_broadband,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,-6.0,constant_velocity,7051807767926021858,4.5,1024,512,64,4,1.0,random_broadband,station_id|estimator_variant|source_model,held_out_independent_recording_tracking_feasibility
s8-independent-evaluation-random_broadband-0-0|S1|256|all_6_equal_gcc_wls,S1,256,all_6_equal_gcc_wls,3.2769791666666666,3.2413229166666664,3.0630359722794576,during_manoeuvre,True,,3.1260483710917306,False,evaluation,random_broadband,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,-6.0,constant_velocity,7051807767926021858,4.5,1024,512,64,4,1.0,random_broadband,station_id|estimator_variant|source_model,held_out_independent_recording_tracking_feasibility
s8-independent-evaluation-random_broadband-0-0|S2|256|all_6_equal_gcc_wls,S2,256,all_6_equal_gcc_wls,3.2919791666666662,3.2413229166666664,2.9415888198042115,during_manoeuvre,True,,0.2805419653295858,False,evaluation,random_broadband,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,-6.0,constant_velocity,7051807767926021858,4.5,1024,512,64,4,1.0,random_broadband,station_id|estimator_variant|source_model,held_out_independent_recording_tracking_feasibility
s8-independent-evaluation-random_broadband-0-0|S0|320|all_6_equal_gcc_wls,S0,320,all_6_equal_gcc_wls,3.944645833333333,3.9239895833333334,3.5907254959023938,after_manoeuvre,True,,3.923543477126639,False,evaluation,random_broadband,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,-6.0,constant_velocity,7051807767926021858,4.5,1024,512,64,4,1.0,random_broadband,station_id|estimator_variant|source_model,held_out_independent_recording_tracking_feasibility
s8-independent-evaluation-random_broadband-0-0|S1|320|all_6_equal_gcc_wls,S1,320,all_6_equal_gcc_wls,3.959645833333333,3.9239895833333334,3.749583261446774,after_manoeuvre,True,,0.5041778480684457,False,evaluation,random_broadband,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,-6.0,constant_velocity,7051807767926021858,4.5,1024,512,64,4,1.0,random_broadband,station_id|estimator_variant|source_model,held_out_independent_recording_tracking_feasibility
s8-independent-evaluation-random_broadband-0-0|S2|320|all_6_equal_gcc_wls,S2,320,all_6_equal_gcc_wls,3.9746458333333328,3.9239895833333334,3.609727334656298,after_manoeuvre,True,,0.0026594845571139723,False,evaluation,random_broadband,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,-6.0,constant_velocity,7051807767926021858,4.5,1024,512,64,4,1.0,random_broadband,station_id|estimator_variant|source_model,held_out_independent_recording_tracking_feasibility
s8-independent-evaluation-random_broadband-0-0|S0|384|all_6_equal_gcc_wls,S0,384,all_6_equal_gcc_wls,4.6273124999999995,4.60665625,4.262900903664951,after_manoeuvre,True,,1.4334987683013167,False,evaluation,random_broadband,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,-6.0,constant_velocity,7051807767926021858,4.5,1024,512,64,4,1.0,random_broadband,station_id|estimator_variant|source_model,held_out_independent_recording_tracking_feasibility
s8-independent-evaluation-random_broadband-0-0|S1|384|all_6_equal_gcc_wls,S1,384,all_6_equal_gcc_wls,4.642312499999999,4.60665625,4.434804830076211,after_manoeuvre,True,,2.9849263445452725,False,evaluation,random_broadband,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,-6.0,constant_velocity,7051807767926021858,4.5,1024,512,64,4,1.0,random_broadband,station_id|estimator_variant|source_model,held_out_independent_recording_tracking_feasibility
s8-independent-evaluation-random_broadband-0-0|S2|384|all_6_equal_gcc_wls,S2,384,all_6_equal_gcc_wls,4.6573125,4.60665625,4.277813629241295,after_manoeuvre,True,,4.980966783829034,False,evaluation,random_broadband,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,-6.0,constant_velocity,7051807767926021858,4.5,1024,512,64,4,1.0,random_broadband,station_id|estimator_variant|source_model,held_out_independent_recording_tracking_feasibility
s8-independent-evaluation-random_broadband-0-0|S1|192|equal_weight_srp_phat,S1,192,equal_weight_srp_phat,2.5943125,2.5586562500000003,2.375240110555998,before_manoeuvre,False,emission_outside_history,nan,False,evaluation,random_broadband,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,-6.0,constant_velocity,7051807767926021858,4.5,1024,512,64,4,1.0,random_broadband,station_id|estimator_variant|source_model,held_out_independent_recording_tracking_feasibility
s8-independent-evaluation-random_broadband-0-0|S2|192|equal_weight_srp_phat,S2,192,equal_weight_srp_phat,2.6093124999999997,2.5586562500000003,2.2733900908577027,before_manoeuvre,False,emission_outside_history,nan,False,evaluation,random_broadband,freesound-383904-simeonradivoev-mini-quadcopter,simeonradivoev-mini-quadcopter-raw-speed-takes,freesound:383904,-6.0,constant_velocity,7051807767926021858,4.5,1024,512,64,4,1.0,random_broadband,station_id|estimator_variant|source_model,held_out_independent_recording_tracking_feasibility
