estimator_variant,motion_phase,publication_phase_basis,update_phase_basis,confirmed_before_manoeuvre,accepted_update_count,rejected_update_count,update_attempt_count,correction_status,dependent_publication_count,valid_publication_count,valid_publication_fraction,position_rmse_m_conditional,position_p95_m_conditional,velocity_rmse_mps_conditional,coverage_conditional,valid_and_covered_fraction,final_time_since_last_accepted_update_s,maximum_time_since_last_accepted_update_s,configuration_index,sequence_index,sequence_seed,trajectory_kind,snr_db
all_6_equal_gcc_wls,before_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,2,11,measurement_correction_in_phase,18,9,0.5,0.06775280173046715,0.08293197763120047,0.07068354285295303,1.0,0.5,0.0,0.0,3,0,14822115595447997293,constant_acceleration_segment,10.0
all_6_equal_gcc_wls,during_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,0,9,measurement_correction_in_phase,9,9,1.0,0.5036767765227214,0.8453559551613199,1.5693037635998954,1.0,1.0,0.0,0.0,3,0,14822115595447997293,constant_acceleration_segment,10.0
all_6_equal_gcc_wls,after_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,12,0,12,measurement_correction_in_phase,15,15,1.0,0.721901557786587,1.2668875945998674,1.282853139602381,1.0,1.0,0.0,0.0,3,0,14822115595447997293,constant_acceleration_segment,10.0
equal_weight_srp_phat,before_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,2,11,measurement_correction_in_phase,18,9,0.5,0.06701221838553958,0.08180894390289176,0.07030647513945643,1.0,0.5,0.0,0.0,3,0,14822115595447997293,constant_acceleration_segment,10.0
equal_weight_srp_phat,during_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,0,9,measurement_correction_in_phase,9,9,1.0,0.5024667434674404,0.8424882066282563,1.5681502892359838,1.0,1.0,0.0,0.0,3,0,14822115595447997293,constant_acceleration_segment,10.0
equal_weight_srp_phat,after_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,12,0,12,measurement_correction_in_phase,15,15,1.0,0.7225610110270805,1.2674389364713905,1.2831036376380256,1.0,1.0,0.0,0.0,3,0,14822115595447997293,constant_acceleration_segment,10.0
all_6_equal_gcc_wls,before_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,8,3,11,measurement_correction_in_phase,18,9,0.5,0.9175723218668093,1.354360098006041,0.7891143128798616,1.0,0.5,0.01499999999999968,0.01499999999999968,4,0,13560838668908170685,smooth_turn,-6.0
all_6_equal_gcc_wls,during_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,0,9,measurement_correction_in_phase,9,9,1.0,0.7358905139769915,1.0099297319840324,1.8449765364379702,0.4444444444444444,0.4444444444444444,0.0,0.0,4,0,13560838668908170685,smooth_turn,-6.0
all_6_equal_gcc_wls,after_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,11,1,12,measurement_correction_in_phase,15,15,1.0,0.8244987230728896,1.302577525173687,1.6587662950605897,1.0,1.0,0.0,0.3113333333333328,4,0,13560838668908170685,smooth_turn,-6.0
equal_weight_srp_phat,before_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,8,3,11,measurement_correction_in_phase,18,9,0.5,0.8554067094848546,1.2904248196558108,0.7393005677272144,1.0,0.5,0.01499999999999968,0.01499999999999968,4,0,13560838668908170685,smooth_turn,-6.0
equal_weight_srp_phat,during_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,0,9,measurement_correction_in_phase,9,9,1.0,0.7071427980609876,0.971412798715891,1.8179630366907302,0.4444444444444444,0.4444444444444444,0.0,0.0,4,0,13560838668908170685,smooth_turn,-6.0
equal_weight_srp_phat,after_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,11,1,12,measurement_correction_in_phase,15,15,1.0,0.8439139354280609,1.3369939003227012,1.6638325340928866,1.0,1.0,0.0,0.3113333333333328,4,0,13560838668908170685,smooth_turn,-6.0
all_6_equal_gcc_wls,before_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,2,11,measurement_correction_in_phase,18,9,0.5,0.14545891865896518,0.202833263301239,0.16217780487441863,1.0,0.5,0.0,0.0,5,0,17588901136433106999,smooth_turn,10.0
all_6_equal_gcc_wls,during_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,0,9,measurement_correction_in_phase,9,9,1.0,0.554932742565288,0.9593810082407919,1.8409901698863829,1.0,1.0,0.0,0.0,5,0,17588901136433106999,smooth_turn,10.0
all_6_equal_gcc_wls,after_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,12,0,12,measurement_correction_in_phase,15,15,1.0,0.6851143678501782,1.2130183825908172,1.2463401361367965,1.0,1.0,0.0,0.0,5,0,17588901136433106999,smooth_turn,10.0
equal_weight_srp_phat,before_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,2,11,measurement_correction_in_phase,18,9,0.5,0.1465176741271411,0.20371161776941044,0.16291790439716228,1.0,0.5,0.0,0.0,5,0,17588901136433106999,smooth_turn,10.0
equal_weight_srp_phat,during_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,9,0,9,measurement_correction_in_phase,9,9,1.0,0.5532444969340296,0.9571706783370981,1.8399245518599634,1.0,1.0,0.0,0.0,5,0,17588901136433106999,smooth_turn,10.0
equal_weight_srp_phat,after_manoeuvre,state_processing_time_s,evaluator_only_true_emission_time_s,True,12,0,12,measurement_correction_in_phase,15,15,1.0,0.6850178832987049,1.2142296331333562,1.247255849520605,1.0,1.0,0.0,0.0,5,0,17588901136433106999,smooth_turn,10.0
