study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,seed,estimator_variant,propagation_model,distance_m,successful_trial_count,unsuccessful_trial_count,successful_fraction,conditional_azimuth_bias_deg,conditional_elevation_bias_deg,conditional_direction_bias_deg,conditional_geodesic_rmse_deg,conditional_median_geodesic_error_deg,conditional_p95_geodesic_error_deg,conditional_p99_geodesic_error_deg,conditional_p999_geodesic_error_deg,p99_geodesic_error_deg,p999_geodesic_error_deg,fraction_error_gt_5deg,fraction_error_gt_10deg,fraction_error_gt_30deg,coverage,failure_fraction,failure_invalid_fraction,gcc_any_pair_invalid_fraction,gcc_any_pair_boundary_fraction,mean_rejected_pair_fraction,mean_unavailable_pair_fraction,disconnected_graph_failure_fraction,catastrophic_fraction,catastrophic_definition,mean_cycle_residual_before_us,mean_cycle_residual_after_us,cycle_residual_definition,cycle_residual_aggregation,risk_coverage_study,confidence_threshold_percentile,hard_confidence_rejection_used,soft_confidence_weighting_used,calibration_covariance_used,confidence_weights_used,metric_conditioning,exact_crlb_claimed,gcc_measurement_rmse_us,direction_specific_plane_model_bias_rms_us,direction_specific_plane_model_bias_max_us,global_E_tau_us,far_field_grid_step_deg,noiseless_plane_doa_bias_deg,noiseless_exact_doa_bias_deg,known_range_used
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,0.0,0.0,2048,all_6,1000,2000,2998631843,all_6_cycle_equal,plane,20.0,2000,0,1.0,-0.0014726693580718628,0.006586569405684952,0.006763589656450876,0.24271669301937293,0.18289578903099635,0.45640302130895016,0.5698109011439814,0.6709854404980187,0.5698109011439814,0.6709854404980187,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conditional_geodesic_error_gt_30deg,0.9733823520772219,1.1847836865878939e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,False,,False,False,False,False,successful_trials_only,False,,,,,,,,
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,0.0,0.0,2048,all_6,1000,2000,2998631843,all_6_cycle_calibrated_no_rejection,plane,20.0,2000,0,1.0,-0.003057075662432812,0.002102791707007096,0.0034235608895476287,0.24403299691203945,0.18304775993145758,0.45201337935740415,0.5772044834998017,0.6856016898723545,0.5772044834998017,0.6856016898723545,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conditional_geodesic_error_gt_30deg,0.9734854494596188,1.1851838281636735e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,,False,False,True,False,successful_trials_only,False,,,,,,,,
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,0.0,0.0,2048,all_6,1000,2000,2998631843,all_6_cycle_calibrated_hard_p05,plane,20.0,1998,2,0.999,-0.0020077273748377164,0.017190296567369485,0.017330729566354317,0.25119387257315656,0.19046977113898753,0.464555978149768,0.5814783443354851,0.6874026696309835,0.5814783443354851,0.6874026696309835,0.0,0.0,0.0,0.999,0.001,0.001,0.0,0.0,0.04991666666666667,0.0,0.001,0.0,conditional_geodesic_error_gt_30deg,0.8844040501542827,1.0398878419154277e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,5.0,True,False,True,True,successful_trials_only,False,,,,,,,,
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,0.0,0.0,2048,all_6,1000,2000,2998631843,all_6_cycle_calibrated,plane,20.0,1977,23,0.9885,-0.0018707991119479275,0.02223233538843386,0.022343689300521757,0.25243197914851934,0.190653565970673,0.46363826713595685,0.5922967781153995,0.7195345764620684,0.5922967781153995,0.7195345764620684,0.0,0.0,0.0,0.9885,0.0115,0.0115,0.0,0.0,0.10016666666666665,0.0,0.0115,0.0,conditional_geodesic_error_gt_30deg,0.8090683403392503,9.174791041379237e-14,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,10.0,True,False,True,True,successful_trials_only,False,,,,,,,,
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,0.0,0.0,2048,all_6,1000,2000,2998631843,all_6_cycle_calibrated_hard_p25,plane,20.0,1818,182,0.909,-0.0013310585270893643,0.045507752722448634,0.04557415385156992,0.26077533082632043,0.20161655659968494,0.4725761518251206,0.607855148570499,0.7203397556790222,0.607855148570499,0.7203397556790222,0.0,0.0,0.0,0.909,0.091,0.091,0.0,0.0,0.23858333333333331,0.0,0.091,0.0,conditional_geodesic_error_gt_30deg,0.6255362932063476,6.563371065884935e-14,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,25.0,True,False,True,True,successful_trials_only,False,,,,,,,,
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,0.0,0.0,2048,all_6,1000,2000,2998631843,all_6_cycle_calibrated_hard_p50,plane,20.0,1097,903,0.5485,0.0010086967977405248,0.1381618063774015,0.13821496180762097,0.2986150784475357,0.25570089127032875,0.5070259396258971,0.6178816794021813,0.6992517994279388,0.6178816794021813,0.6992517994279388,0.0,0.0,0.0,0.5485,0.4515,0.4515,0.0,0.0,0.49066666666666664,0.0,0.4515,0.0,conditional_geodesic_error_gt_30deg,0.38433103853515665,3.7902999938340004e-14,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,50.0,True,False,True,True,successful_trials_only,False,,,,,,,,
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,0.0,0.0,2048,all_6,1000,2000,2998631843,all_6_cycle_calibrated_soft,plane,20.0,2000,0,1.0,-0.0032453582195880446,0.01849899872120042,0.018764577478417966,0.2468008549432808,0.18713750048472547,0.4586186563624546,0.5768764173942532,0.6857472578430953,0.5768764173942532,0.6857472578430953,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conditional_geodesic_error_gt_30deg,0.9734854494596188,1.185827963047167e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,True,,False,True,True,True,successful_trials_only,False,,,,,,,,
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,10.0,10.0,2048,reference_3,1000,2000,1605323588,reference_3_equal,plane,20.0,2000,0,1.0,-0.0006170063472557393,0.009792606022624327,0.009815089758694452,0.0993062895587088,0.07805993018662742,0.18093684299349308,0.23953424135526863,0.29802676802885275,0.23953424135526863,0.29802676802885275,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conditional_geodesic_error_gt_30deg,0.0,0.0,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,False,,False,False,False,False,successful_trials_only,False,,,,,,,,
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,10.0,10.0,2048,all_6,1000,2000,1605323588,all_6_equal,plane,20.0,2000,0,1.0,-0.0003535010560187964,0.012461995319376537,0.01247235495854937,0.0893238793832212,0.06821869725627469,0.16146412258807516,0.21581701132405523,0.27752461066215073,0.21581701132405523,0.27752461066215073,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conditional_geodesic_error_gt_30deg,0.0,0.0,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,False,,False,False,False,False,successful_trials_only,False,,,,,,,,
signal_comparison,random_broadband,evaluation,square,az45_el30,45.0,30.0,10.0,10.0,2048,all_6,1000,2000,1605323588,all_6_cycle_equal,plane,20.0,2000,0,1.0,-0.00035350106142811844,0.01246199530125646,0.01247235490010576,0.08932387938241126,0.06821869726429114,0.1614641225451806,0.21581701136195414,0.27752461065690254,0.21581701136195414,0.27752461065690254,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conditional_geodesic_error_gt_30deg,0.21810932656564483,1.1821566125247582e-13,euclidean_norm_of_cycle_coordinates,mean_over_successfully_projected_trials,False,,False,False,False,False,successful_trials_only,False,,,,,,,,
