split,configuration_index,sequence_index,sequence_seed,sequence_id,trajectory_kind,snr_db,signal_model,station_id,estimator_variant,frame_index,frame_start_reception_time_s,frame_center_reception_time_s,frame_end_reception_time_s,true_emission_time_s_evaluator_only,available_timestamp_s,modeled_processing_delay_s,modeled_delivery_delay_s,measured_algorithm_runtime_s,effective_station_snr_db,valid,invalid_reason,boundary_hit,geodesic_error_deg,source_seed,noise_seed,truth_used_by_audio_estimator,frame_from_continuous_stream,truth_local_0,truth_local_1,truth_local_2,truth_world_0,truth_world_1,truth_world_2,estimate_local_0,estimate_local_1,estimate_local_2,estimate_world_0,estimate_world_1,estimate_world_2,residual_rad_0,residual_rad_1,quality_metadata_json
evaluation,0,0,12641758821041380052,s7c-audio-evaluation-0-0,constant_velocity,-6.0,random_broadband,S0,all_6_equal_gcc_wls,0,0.5,0.51065625,0.5213125,0.2235158036504338,0.5313125,0.01,0.0,0.002386599999908867,-6.002137370019053,True,,False,0.8093023285160839,3617375949775248769,12159384277221667435,False,True,0.7266241392281328,0.5516286803935657,0.4095401802732284,0.7266241392281328,0.5516286803935657,0.4095401802732284,0.7202255820851283,0.550560996393586,0.422087313431996,0.7202255820851283,0.550560996393586,0.422087313431996,0.0030186760330595573,0.013798657373934639,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.008505095829759569, ""gcc_mean_peak_ratio"": 1.8239202182096346, ""gcc_minimum_peak_ratio"": 1.5663113398460533, ""gcc_total_spectral_energy"": 13598503.297390584, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,12641758821041380052,s7c-audio-evaluation-0-0,constant_velocity,-6.0,random_broadband,S0,equal_weight_srp_phat,0,0.5,0.51065625,0.5213125,0.2235158036504338,0.5313125,0.01,0.0,0.004724600000145074,-6.002137370019053,True,,False,0.8698417255775546,3617375949775248769,12159384277221667435,False,True,0.7266241392281328,0.5516286803935657,0.4095401802732284,0.7266241392281328,0.5516286803935657,0.4095401802732284,0.7206097305731336,0.5491573085311242,0.4232586286068691,0.7206097305731336,0.5491573085311242,0.4232586286068691,0.0016683476212229706,0.01508965400557176,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.8051923882108637, ""srp_peak_score"": 0.12106904937894085, ""srp_score_margin"": 0.01530277118398432, ""srp_used_spectral_energy"": 13598503.297390584}"
evaluation,0,0,12641758821041380052,s7c-audio-evaluation-0-0,constant_velocity,-6.0,random_broadband,S0,all_6_equal_gcc_wls,1,0.5106666666666667,0.5213229166666666,0.5319791666666667,0.23405804905499686,0.5419791666666667,0.01,0.0,0.0023215000003347086,-6.002137370019053,True,,False,0.7049397180692419,3617375949775248769,12159384277221667435,False,True,0.7270583739257434,0.5510687770333231,0.40952328857276404,0.7270583739257434,0.5510687770333231,0.40952328857276404,0.7260598740815946,0.5445363761277597,0.4199014102408636,0.7260598740815946,0.5445363761277597,0.4199014102408636,-0.004602983871614993,0.011410044782039264,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.009325002027014357, ""gcc_mean_peak_ratio"": 1.988330756206617, ""gcc_minimum_peak_ratio"": 1.7570115201181884, ""gcc_total_spectral_energy"": 13480147.887804298, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,12641758821041380052,s7c-audio-evaluation-0-0,constant_velocity,-6.0,random_broadband,S0,equal_weight_srp_phat,1,0.5106666666666667,0.5213229166666666,0.5319791666666667,0.23405804905499686,0.5419791666666667,0.01,0.0,0.004509100000177568,-6.002137370019053,True,,False,0.674460252353277,3617375949775248769,12159384277221667435,False,True,0.7270583739257434,0.5510687770333231,0.40952328857276404,0.7270583739257434,0.5510687770333231,0.40952328857276404,0.7270202186994744,0.5439989784256813,0.41893521345666745,0.7270202186994744,0.5439989784256813,0.41893521345666745,-0.00561136713959705,0.010348043154892073,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.8171668631687831, ""srp_peak_score"": 0.12395334318323901, ""srp_score_margin"": 0.024042441372023216, ""srp_used_spectral_energy"": 13480147.887804298}"
evaluation,0,0,12641758821041380052,s7c-audio-evaluation-0-0,constant_velocity,-6.0,random_broadband,S0,all_6_equal_gcc_wls,2,0.5213333333333333,0.5319895833333333,0.5426458333333334,0.24460015196546914,0.5526458333333334,0.01,0.0,0.002184399999805464,-6.002137370019053,True,,False,1.1003297743259286,3617375949775248769,12159384277221667435,False,True,0.7274918618057078,0.5505090898599034,0.40950620628762846,0.7274918618057078,0.5505090898599034,0.40950620628762846,0.7179088604666783,0.5504584167438601,0.42614833039597655,0.7179088604666783,0.5504584167438601,0.42614833039597655,0.00574256822166503,0.018325692955474548,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.008896744147004691, ""gcc_mean_peak_ratio"": 2.1415962898686574, ""gcc_minimum_peak_ratio"": 1.6596693436161807, ""gcc_total_spectral_energy"": 13342576.20630727, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,12641758821041380052,s7c-audio-evaluation-0-0,constant_velocity,-6.0,random_broadband,S0,equal_weight_srp_phat,2,0.5213333333333333,0.5319895833333333,0.5426458333333334,0.24460015196546914,0.5526458333333334,0.01,0.0,0.004169399999909729,-6.002137370019053,True,,False,1.0643456618353633,3617375949775248769,12159384277221667435,False,True,0.7274918618057078,0.5505090898599034,0.40950620628762846,0.7274918618057078,0.5505090898599034,0.40950620628762846,0.7185522471016895,0.5499048211405048,0.4257785291340348,0.7185522471016895,0.5499048211405048,0.4257785291340348,0.004912814130182709,0.01791492459189196,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.8141262030989579, ""srp_peak_score"": 0.11884927760418322, ""srp_score_margin"": 0.015943427797423734, ""srp_used_spectral_energy"": 13342576.20630727}"
evaluation,0,0,12641758821041380052,s7c-audio-evaluation-0-0,constant_velocity,-6.0,random_broadband,S0,all_6_equal_gcc_wls,3,0.532,0.5426562500000001,0.5533125,0.25514211257282143,0.5633125,0.01,0.0,0.002205900000035399,-6.002137370019053,True,,False,0.45373569126780056,3617375949775248769,12159384277221667435,False,True,0.7279246036912218,0.5499496197839512,0.4094889339658217,0.7279246036912218,0.5499496197839512,0.4094889339658217,0.7243696950999876,0.556532061596394,0.4068913973482588,0.7243696950999876,0.556532061596394,0.4068913973482588,0.007395046524149259,-0.0028331477968413193,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.008895223730793702, ""gcc_mean_peak_ratio"": 1.9578558726205113, ""gcc_minimum_peak_ratio"": 1.6970520996674743, ""gcc_total_spectral_energy"": 13289611.390003998, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,12641758821041380052,s7c-audio-evaluation-0-0,constant_velocity,-6.0,random_broadband,S0,equal_weight_srp_phat,3,0.532,0.5426562500000001,0.5533125,0.25514211257282143,0.5633125,0.01,0.0,0.0042713000000276224,-6.002137370019053,True,,False,0.4550526414713956,3617375949775248769,12159384277221667435,False,True,0.7279246036912218,0.5499496197839512,0.4094889339658217,0.7279246036912218,0.5499496197839512,0.4094889339658217,0.7248109119661541,0.5564692752037871,0.4061909497378838,0.7248109119661541,0.5564692752037871,0.4061909497378838,0.007078978715740848,-0.003600843627669407,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.8150125048051898, ""srp_peak_score"": 0.12134438137061528, ""srp_score_margin"": 0.016853947620850532, ""srp_used_spectral_energy"": 13289611.390003998}"
evaluation,0,0,12641758821041380052,s7c-audio-evaluation-0-0,constant_velocity,-6.0,random_broadband,S0,all_6_equal_gcc_wls,4,0.5426666666666666,0.5533229166666667,0.5639791666666667,0.2656839310678918,0.5739791666666667,0.01,0.0,0.002251799999839932,-6.002137370019053,True,,False,0.5186325035079447,3617375949775248769,12159384277221667435,False,True,0.7283566004070743,0.5493903677121529,0.4094714721547215,0.7283566004070743,0.5493903677121529,0.4094714721547215,0.733736183482333,0.5474035942465515,0.40246803358122396,0.733736183482333,0.5474035942465515,0.40246803358122396,-0.004825737365835741,-0.007658208214196944,"{""boundary"": false, ""gcc_boundary_count"": 0, ""gcc_mean_peak_curvature"": 0.007505770591720186, ""gcc_mean_peak_ratio"": 1.767046256912484, ""gcc_minimum_peak_ratio"": 1.5780036488456368, ""gcc_total_spectral_energy"": 13648982.070403997, ""gcc_valid_pair_count"": 6}"
evaluation,0,0,12641758821041380052,s7c-audio-evaluation-0-0,constant_velocity,-6.0,random_broadband,S0,equal_weight_srp_phat,4,0.5426666666666666,0.5533229166666667,0.5639791666666667,0.2656839310678918,0.5739791666666667,0.01,0.0,0.004351000000042404,-6.002137370019053,True,,False,0.5154613790254389,3617375949775248769,12159384277221667435,False,True,0.7283566004070743,0.5493903677121529,0.4094714721547215,0.7283566004070743,0.5493903677121529,0.4094714721547215,0.7336362217118002,0.5475751382749394,0.4024169009070262,0.7336362217118002,0.5475751382749394,0.4024169009070262,-0.004628585223549586,-0.007714478546621524,"{""boundary"": false, ""srp_mean_spectral_energy_fraction"": 0.819432334508034, ""srp_peak_score"": 0.11535785748560684, ""srp_score_margin"": 0.022911679297645524, ""srp_used_spectral_energy"": 13648982.070403997}"
