study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,calibration_seed,evaluation_seed,seed,estimator_variant,srp_backend,common_random_numbers,successful_trial_count,unsuccessful_trial_count,successful_fraction,conditional_azimuth_bias_deg,conditional_elevation_bias_deg,conditional_direction_bias_deg,conditional_geodesic_rmse_deg,conditional_median_geodesic_error_deg,conditional_p95_geodesic_error_deg,conditional_p99_geodesic_error_deg,conditional_p999_geodesic_error_deg,p99_geodesic_error_deg,p999_geodesic_error_deg,fraction_error_gt_5deg,fraction_error_gt_10deg,fraction_error_gt_30deg,coverage,failure_fraction,invalid_fraction,boundary_hit_fraction,disconnected_graph_failure_fraction,catastrophic_fraction,mean_runtime_per_estimate_s,median_runtime_per_estimate_s,p95_runtime_per_estimate_s,metric_conditioning,equal_pair_weights,gcc_confidence_used_by_srp
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-6.0,-6.0,1024,all_6,500,1000,3371153956,3211452428,3211452428,all_6_calibrated_gcc_wls,not_applicable,True,990,10,0.99,0.020916350510473133,-3.0491260116357677,3.069235563871602,7.110308364005431,4.473033548655921,10.07575826079762,10.313299287997847,45.30793488605832,10.313299287997847,45.30793488605832,0.4595959595959596,0.31313131313131315,0.00404040404040404,0.99,0.010000000000000009,0.0,0.006,0.01,0.00404040404040404,0.00364084290061146,0.0036059999838471413,0.004736984980991109,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-6.0,-6.0,1024,all_6,500,1000,3371153956,3211452428,3211452428,equal_weight_srp_phat,gcc_correlation_interpolated,True,1000,0,1.0,0.021646084437956948,-0.31849375285067577,0.31534306948483,4.592632515194679,2.8481602005534743,10.005838942984175,10.042398408618983,10.098917353653846,10.042398408618983,10.098917353653846,0.24,0.09,0.0,1.0,0.0,0.0,0.09,0.0,0.0,0.007376976198516786,0.007060799922328442,0.010485999973025172,successful_trials_only,True,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-4.0,-4.0,1024,reference_3,500,1000,2122281893,590038321,590038321,reference_3_gcc_wls,not_applicable,True,1000,0,1.0,0.10294304944319135,-0.38100216197944337,0.3893142285926819,4.730158443873785,2.893015989556518,10.032424532493009,10.167160927240609,11.169373270787913,10.167160927240609,11.169373270787913,0.245,0.104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0031328012992162257,0.0031045000068843365,0.004079194983933121,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-4.0,-4.0,1024,all_6,500,1000,2122281893,590038321,590038321,all_6_equal_gcc_wls,not_applicable,True,1000,0,1.0,0.043468914194832585,-0.23863292974180628,0.2382855706261287,3.832963069682146,2.071129762103153,10.000068217454153,10.031274412906123,14.346960866547256,10.031274412906123,14.346960866547256,0.134,0.053,0.001,1.0,0.0,0.0,0.0,0.0,0.001,0.003139681401196867,0.0030806000577285886,0.004110240092268213,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-4.0,-4.0,1024,all_6,500,1000,2122281893,590038321,590038321,all_6_calibrated_gcc_wls,not_applicable,True,995,5,0.995,0.018694890408303255,-1.3525032722780232,1.3533697131027584,5.1494308349867,2.9030011502806508,10.012220629390225,10.050039548729929,10.43608060540639,10.050039548729929,10.43608060540639,0.2793969849246231,0.1306532663316583,0.0010050251256281408,0.995,0.0050000000000000044,0.0,0.0,0.005,0.0010050251256281408,0.003576527200988494,0.003567199921235442,0.0046642098925076415,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-4.0,-4.0,1024,all_6,500,1000,2122281893,590038321,590038321,equal_weight_srp_phat,gcc_correlation_interpolated,True,1000,0,1.0,0.010213469741130311,-0.2792399418485288,0.2770467735717845,3.59093761624123,2.03767077415501,7.859967512789042,10.024588817782075,10.072095007981126,10.024588817782075,10.072095007981126,0.138,0.045,0.0,1.0,0.0,0.0,0.045,0.0,0.0,0.007531816299655475,0.007264800020493567,0.01024019996402785,successful_trials_only,True,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-2.0,-2.0,1024,reference_3,500,1000,371047043,2988924329,2988924329,reference_3_gcc_wls,not_applicable,True,1000,0,1.0,0.04938204702256661,-0.12180319684087365,0.12774263382226544,3.623095919719156,2.1715747065077684,8.831424821803918,10.028861572696158,10.077854465409612,10.028861572696158,10.077854465409612,0.135,0.048,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0031343495019245894,0.003075400018133223,0.004128865001257509,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-2.0,-2.0,1024,all_6,500,1000,371047043,2988924329,2988924329,all_6_equal_gcc_wls,not_applicable,True,1000,0,1.0,0.020980394928373402,0.07543414596442817,0.07935229626587126,2.665055816303802,1.6562785324162936,4.925552403683143,10.000866297597819,10.008994709549336,10.000866297597819,10.008994709549336,0.048,0.015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0031403168017277495,0.003095799998845905,0.004083159891888499,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-2.0,-2.0,1024,all_6,500,1000,371047043,2988924329,2988924329,all_6_calibrated_gcc_wls,not_applicable,True,995,5,0.995,-0.044508324011925934,-0.3829975637579355,0.38406223922297567,2.96941874670672,1.7498182902343968,5.831662362193793,10.003117371815254,10.098167438593919,10.003117371815254,10.098167438593919,0.07236180904522613,0.02512562814070352,0.0,0.995,0.0050000000000000044,0.0,0.0,0.005,0.0,0.003547467897995375,0.0035169999464415014,0.0045558699930552385,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,-2.0,-2.0,1024,all_6,500,1000,371047043,2988924329,2988924329,equal_weight_srp_phat,gcc_correlation_interpolated,True,1000,0,1.0,0.013842737867624924,0.08248153547447955,0.0847087684268265,2.6389433583282402,1.6472365265663362,4.8294125567566955,10.000670912465376,10.013325658235384,10.000670912465376,10.013325658235384,0.045,0.013,0.0,1.0,0.0,0.0,0.013,0.0,0.0,0.007337038101162761,0.006996650015935302,0.009895010030595586,successful_trials_only,True,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,0.0,0.0,1024,reference_3,500,1000,1572511961,302286287,302286287,reference_3_gcc_wls,not_applicable,True,1000,0,1.0,0.08785004683884172,0.2380244322306141,0.2540390201521798,2.8242781707006968,1.8063354862347,5.6803149407792715,10.002702317826584,10.026229460394845,10.002702317826584,10.026229460394845,0.063,0.014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0030975301004946233,0.003037050017155707,0.004070779914036393,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,0.0,0.0,1024,all_6,500,1000,1572511961,302286287,302286287,all_6_equal_gcc_wls,not_applicable,True,1000,0,1.0,0.04159420944643633,0.2933774190694732,0.29672391481690263,2.1671370957990614,1.4286557688224384,4.003810007505726,6.00728182204025,10.003072439341336,6.00728182204025,10.003072439341336,0.025,0.002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0031073717020917682,0.00306089996593073,0.004121214943006634,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,0.0,0.0,1024,all_6,500,1000,1572511961,302286287,302286287,all_6_calibrated_gcc_wls,not_applicable,True,992,8,0.992,-0.034193711452725234,-0.24066056149957626,0.24215587617828874,2.4830293949143774,1.5415123366452328,4.5372126573400156,10.00028513173024,10.016128305265452,10.00028513173024,10.016128305265452,0.037298387096774195,0.012096774193548387,0.0,0.992,0.008000000000000007,0.0,0.0,0.008,0.0,0.0035045199970481916,0.0034672999754548073,0.00461958001833409,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,0.0,0.0,1024,all_6,500,1000,1572511961,302286287,302286287,equal_weight_srp_phat,gcc_correlation_interpolated,True,1000,0,1.0,0.028428741964396313,0.3014719662817475,0.303233336549392,2.1347420021629593,1.4244493920231711,3.8806099736986877,5.5807079924573495,10.002919792755486,5.5807079924573495,10.002919792755486,0.022,0.002,0.0,1.0,0.0,0.0,0.002,0.0,0.0,0.007347345901071094,0.00703984999563545,0.009753874992020429,successful_trials_only,True,False
