processing_time_s,estimator_variant,valid,confirmed,status,failure_reason,truth_position_x_m,truth_position_y_m,truth_position_z_m,estimate_position_x_m,estimate_position_y_m,estimate_position_z_m,position_error_m,velocity_error_mps,state_nees,valid_and_covered,reset_count,publication_motion_phase_evaluator_only,last_accepted_update_processing_time_s,time_since_last_accepted_update_s,correction_status,truth_used_by_tracker,configuration_index,sequence_index,sequence_seed,trajectory_kind,snr_db,source_recording_id,source_session_id,source_data_independent_between_splits,result_scope
0.5313125,all_6_equal_gcc_wls,False,False,uninitialized,initialization_failed:no_observable_hypothesis,73.7191875,53.4060625,40.79696875,nan,nan,nan,nan,nan,nan,False,0,before_manoeuvre,nan,nan,prediction_without_correction,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
0.5463125,all_6_equal_gcc_wls,False,False,uninitialized,initialization_failed:no_observable_hypothesis,73.8241875,53.3610625,40.81946875,nan,nan,nan,nan,nan,nan,False,0,before_manoeuvre,nan,nan,prediction_without_correction,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
0.5613125,all_6_equal_gcc_wls,False,False,uninitialized,initialization_failed:no_observable_hypothesis,73.9291875,53.3160625,40.84196875,nan,nan,nan,nan,nan,nan,False,0,before_manoeuvre,nan,nan,prediction_without_correction,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
0.8726458333333333,all_6_equal_gcc_wls,False,False,uninitialized,initialization_failed:no_observable_hypothesis,76.10852083333333,52.3820625,41.30896875,nan,nan,nan,nan,nan,nan,False,0,before_manoeuvre,nan,nan,prediction_without_correction,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
0.8876458333333334,all_6_equal_gcc_wls,False,False,uninitialized,initialization_failed:no_observable_hypothesis,76.21352083333333,52.3370625,41.33146875,nan,nan,nan,nan,nan,nan,False,0,before_manoeuvre,nan,nan,prediction_without_correction,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
0.9026458333333334,all_6_equal_gcc_wls,False,False,tentative,tentative_initialization_unconfirmed,76.31852083333334,52.2920625,41.35396875,nan,nan,nan,nan,nan,nan,False,0,before_manoeuvre,nan,nan,prediction_without_correction,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
1.2139791666666666,all_6_equal_gcc_wls,False,False,tentative,tentative_initialization_unconfirmed,78.49785416666667,51.3580625,41.82096875,nan,nan,nan,nan,nan,nan,False,0,before_manoeuvre,nan,nan,prediction_without_correction,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
1.2289791666666665,all_6_equal_gcc_wls,False,False,tentative,tentative_initialization_unconfirmed,78.60285416666666,51.3130625,41.84346875,nan,nan,nan,nan,nan,nan,False,0,before_manoeuvre,nan,nan,prediction_without_correction,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
1.2439791666666666,all_6_equal_gcc_wls,False,False,tentative,tentative_initialization_unconfirmed,78.70785416666666,51.2680625,41.86596875,nan,nan,nan,nan,nan,nan,False,0,before_manoeuvre,nan,nan,prediction_without_correction,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
1.5553125,all_6_equal_gcc_wls,False,False,tentative,tentative_initialization_unconfirmed,80.8871875,50.3340625,42.33296875,nan,nan,nan,nan,nan,nan,False,0,before_manoeuvre,nan,nan,prediction_without_correction,False,0,0,2404062123035186696,constant_velocity,-6.0,freesound-683298-sadiquecat-mavic-mini-2,freesound-683298-single-session,False,single_session_integration_demonstration
