split,trajectory_kind,snr_db,estimator_variant,independent_sequence_count,dependent_bearing_count,bearing_valid_fraction,bearing_rmse_deg_conditional,bearing_p95_deg_conditional,dependent_publication_count,confirmed_publication_fraction,valid_publication_fraction,final_valid_sequence_fraction,position_rmse_m_conditional,position_p95_m_conditional,position_max_m_conditional,velocity_rmse_mps_conditional,velocity_p95_mps_conditional,coverage_conditional,valid_and_covered_fraction,mean_first_confirmation_time_s,confirmed_before_manoeuvre_sequence_fraction,prediction_without_correction_sequence_fraction,mean_reset_count,failure_reasons_json,mean_tracker_runtime_s_per_sequence,mean_audio_synthesis_wall_runtime_s_per_sequence,mean_bearing_frontend_wall_runtime_s_per_sequence,mean_audio_pipeline_wall_runtime_s_per_sequence,maximum_history_memory_bytes,maximum_history_nodes,conditional_metrics_use_successful_results_only,overlapping_frames_are_independent_trials,source_recording_id,independent_source_session_count,source_data_independent_between_splits,result_scope,absolute_spl_or_detection_range_validated
evaluation,constant_velocity,-6.0,all_6_equal_gcc_wls,1,840,1.0,12.469364353054507,26.923728623724088,27,0.5555555555555556,0.5555555555555556,1.0,4.7603620216216855,7.195735783084015,7.864711495844608,2.616950033584224,3.6121622625620553,1.0,0.5555555555555556,1.8966458333333334,1.0,0.0,0.0,{},0.3210890000045765,33.265649799999665,7.045083100005286,40.343734199996106,116320,20,True,False,freesound-683298-sadiquecat-mavic-mini-2,1,False,single_session_integration_demonstration,False
evaluation,constant_velocity,-6.0,equal_weight_srp_phat,1,840,1.0,3.4778398128942802,7.180923670904335,27,0.5925925925925926,0.5925925925925926,1.0,6.045935921177367,11.388346728774305,12.033350388801903,4.219637279699474,8.307870424125557,0.75,0.4444444444444444,1.5853125000000001,1.0,0.0,0.0,{},0.5197550000011688,33.265649799999665,7.045083100005286,40.343734199996106,116320,20,True,False,freesound-683298-sadiquecat-mavic-mini-2,1,False,single_session_integration_demonstration,False
evaluation,constant_velocity,10.0,all_6_equal_gcc_wls,1,840,1.0,0.2354701833582788,0.406119460331352,27,0.6666666666666666,0.6666666666666666,1.0,0.5382977252310354,0.6716009596804298,0.7011754495327086,0.28690931913726686,0.4240494483792596,1.0,0.6666666666666666,1.5553125,1.0,0.0,0.0,{},0.13035490000038408,33.248440800001845,6.958235099999001,40.2406803000049,116320,20,True,False,freesound-683298-sadiquecat-mavic-mini-2,1,False,single_session_integration_demonstration,False
evaluation,constant_velocity,10.0,equal_weight_srp_phat,1,840,1.0,0.23607644518573262,0.4065814085258969,27,0.6666666666666666,0.6666666666666666,1.0,0.5876913418193145,0.8272017517274054,0.8802013587392615,0.3019640045344288,0.5518319369660062,1.0,0.6666666666666666,1.5553125,1.0,0.0,0.0,{},0.13039279999793507,33.248440800001845,6.958235099999001,40.2406803000049,116320,20,True,False,freesound-683298-sadiquecat-mavic-mini-2,1,False,single_session_integration_demonstration,False
