geometry,azimuth_deg,elevation_deg,snr_db,trial_count,seed,noise_model,snr_definition,signal_model,delay_method,frequency_reference,sampling_rate_hz,signal_duration_s,minimum_frequency_hz,maximum_frequency_hz,interpolation_factor,pair_scheme,pair_count,tdoa_bias_us,tdoa_rmse_us,tdoa_p95_abs_error_us,tdoa_trial_outlier_fraction_gt_0p5_sample,tdoa_trial_outlier_fraction_gt_1_sample,azimuth_bias_deg,elevation_bias_deg,geodesic_rmse_deg,median_geodesic_error_deg,p95_geodesic_error_deg,fraction_geodesic_error_gt_10deg,wls_success_fraction,mirror_ambiguous,equal_pair_weight_assumption
square,45.0,30.0,20.0,200,3595267198,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,0.046321330685626896,0.5052732934730455,0.9670561450404455,0.0,0.0,0.0037195883808990786,0.02428799845638094,0.11455268213443523,0.09052409910782147,0.19922904995363044,0.0,1.0,True,True
square,120.0,50.0,-20.0,200,479354041,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,53.11997127958841,324.0685818155786,634.3584982557487,1.0,1.0,-10.340034893071905,-8.981480704181175,63.84303359975428,52.17798753878086,120.44258267574179,0.96,1.0,True,True
square,120.0,50.0,-10.0,200,1891034130,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,13.232579673349617,122.5116926454461,274.43968227715243,0.92,0.62,4.0904794403426,-0.8432662187646566,22.962858849023778,3.4221935199945523,52.10190914096944,0.3,1.0,True,True
square,120.0,50.0,0.0,200,2754284121,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,0.30017511919652795,4.080165475553345,7.746878790848164,0.03,0.0,0.03655779958304614,0.022525902992747787,0.8198189266454922,0.665879506119675,1.4030280903725643,0.0,1.0,True,True
square,120.0,50.0,5.0,200,2825461914,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,0.09328099568332104,2.320503238003454,4.500319472917609,0.0,0.0,-0.0020607049380034453,0.04430062330265708,0.453961519581062,0.3447898945906821,0.8912815800230125,0.0,1.0,True,True
square,120.0,50.0,10.0,200,164577953,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,0.2726612663401453,1.419999700014262,2.5944890032125087,0.0,0.0,0.030129116521873937,0.0571529388733181,0.27040249189676385,0.20713721089741594,0.49831004332851014,0.0,1.0,True,True
square,120.0,50.0,20.0,200,1853702828,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,0.45778691715682307,0.9051018590450866,1.8923609128021166,0.0,0.0,0.017725043226536036,0.1714330469225083,0.19466893027304644,0.17769287708380116,0.30157348868494327,0.0,1.0,True,True
tetrahedral,20.0,10.0,-20.0,200,1090829105,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-336.9321533761386,516.0943974400243,1025.296175214956,1.0,1.0,7.435370286602654,7.811872520307958,91.1432070389179,89.30693974328997,138.35595802779827,0.99,1.0,False,True
tetrahedral,20.0,10.0,-10.0,200,2661188732,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,-84.47188798446142,266.7225826774609,757.9700672530909,0.865,0.615,3.184296708274714,2.8709747371084426,46.73503314224532,3.839905454833178,102.62128844627479,0.395,1.0,False,True
tetrahedral,20.0,10.0,0.0,200,2429517144,independent_channel_sample_gaussian,20log10(valid_region_signal_rms/noise_std)_per_channel,deterministic_bandlimited_multisine,windowed_sinc,deterministic_cross_generator_validation,48000.0,0.05,300.0,10000.0,8,reference_0_linearly_independent,3,0.03472718818897089,4.1749619392281785,8.20812096258872,0.065,0.0,0.03242862817765666,0.0011102719239624314,0.7106492242341208,0.5670497989328573,1.2602499502713722,0.0,1.0,False,True
