record_type,geometry,distance_m,max_plane_error_s,max_plane_error_us,max_second_order_error_s,max_second_order_error_us,sample_error,worst_azimuth_deg,worst_elevation_deg,worst_pair,second_order_worst_azimuth_deg,second_order_worst_elevation_deg,second_order_worst_pair,sampling_rate_hz,angular_step_deg,max_elevation_deg,phase_error_2000hz_rad,phase_error_4000hz_rad,phase_error_8000hz_rad,phase_error_12000hz_rad,criterion,maximum_frequency_hz,limit_value,limit_unit,target_error_s,target_error_us,minimum_distance_m,coarse_boundary_distance_m,achieved_error_s,achieved_error_us,coarse_max_error,refined_max_error,relative_grid_difference,refined_worst_azimuth_deg,refined_worst_elevation_deg,refined_worst_pair,continuous_refinement_used,continuous_max_error,continuous_worst_azimuth_deg,continuous_worst_elevation_deg,continuous_worst_pair,coarse_search_iterations,refined_search_iterations,refined_angular_step_deg
distance_sweep,L-shaped,0.5,4.0998235830996566e-05,40.99823583099656,5.8442224194522885e-06,5.844222419452288,1.9679153198878352,33.5,0.0,0-3,125.0,50.0,2-3,48000.0,0.5,80.0,0.5151990259872026,1.0303980519744051,2.0607961039488103,3.0911941559232154,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,L-shaped,1.0,2.048032582170243e-05,20.48032582170243,1.4393921465038519e-06,1.439392146503852,0.9830556394417166,31.0,0.0,0-3,131.0,51.5,2-3,48000.0,0.5,80.0,0.25736336457834275,0.5147267291566855,1.029453458313371,1.5441801874700567,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,L-shaped,2.0,1.0229546483036042e-05,10.229546483036042,3.5732320807953244e-07,0.35732320807953244,0.49101823118573,29.5,0.0,0-3,134.5,51.5,2-3,48000.0,0.5,80.0,0.12854827232264535,0.2570965446452907,0.5141930892905814,0.771289633935872,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,L-shaped,5.0,4.088315285954644e-06,4.088315285954644,5.693845525969743e-08,0.05693845525969743,0.1962391337258229,28.5,0.0,0-3,136.0,52.0,2-3,48000.0,0.5,80.0,0.051375285071655855,0.10275057014331171,0.20550114028662342,0.30825171042993516,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,L-shaped,10.0,2.043522855002533e-06,2.043522855002533,1.4215699711134233e-08,0.014215699711134233,0.09808909704012159,28.5,0.0,0-3,136.5,52.0,2-3,48000.0,0.5,80.0,0.02567966555487519,0.05135933110975038,0.10271866221950075,0.15407799332925115,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,L-shaped,20.0,1.02157572154718e-06,1.02157572154718,3.5515758806115016e-09,0.0035515758806115016,0.049035634634264635,28.5,0.0,0-3,137.0,52.0,2-3,48000.0,0.5,80.0,0.012837499127593249,0.025674998255186498,0.051349996510372996,0.0770249947655595,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,L-shaped,50.0,4.085892676254719e-07,0.40858926762547193,5.680273473807063e-10,0.0005680273473807063,0.019612284846022652,28.0,0.0,0-3,137.0,52.0,2-3,48000.0,0.5,80.0,0.005134484166031266,0.010268968332062532,0.020537936664125064,0.030806904996187594,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,L-shaped,100.0,2.0428839709888606e-07,0.20428839709888605,1.4198803244269698e-10,0.00014198803244269698,0.009805843060746531,28.0,0.0,0-3,137.0,52.0,2-3,48000.0,0.5,80.0,0.002567163710157979,0.005134327420315958,0.010268654840631917,0.015402982260947877,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,L-shaped,200.0,1.021426123239209e-07,0.1021426123239209,3.549460725338349e-11,3.549460725338349e-05,0.004902845391548203,28.0,0.0,0-3,137.0,52.0,2-3,48000.0,0.5,80.0,0.0012835619219812005,0.002567123843962401,0.005134247687924802,0.007701371531887204,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,L-shaped,500.0,4.085666089907107e-08,0.04085666089907107,5.679012815562601e-12,5.679012815562601e-06,0.0019611197231554113,28.0,0.0,0-3,137.0,52.0,2-3,48000.0,0.5,80.0,0.0005134199429229241,0.0010268398858458482,0.0020536797716916963,0.0030805196575375447,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,L-shaped,1000.0,2.0428266367535737e-08,0.02042826636753574,1.4201972931005002e-12,1.4201972931005002e-06,0.0009805567856417154,28.0,0.0,0-3,136.5,51.5,2-3,48000.0,0.5,80.0,0.00025670916618330283,0.0005134183323666057,0.0010268366647332113,0.0015402549970998172,,,,,,,,,,,,,,,,,,,,,,,,
