geometry,geometry_index,sequence_index,base_seed,independent_unit,profile_run_count_per_block,profiles_are_paired,seed_scheme,truth_provenance,truth_seed,nominal_bearing_noise_provenance,nominal_bearing_noise_seed,transport_loss_uniform_provenance,transport_loss_uniform_seed,transport_delay_uniform_provenance,transport_delay_uniform_seed,outlier_mask_uniform_provenance,outlier_mask_uniform_seed,outlier_direction_provenance,outlier_direction_seed
informative,0,0,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:0:truth,16851200148011116536,s7cd1:20260910:0:0:nominal_bearing_noise,13836873569461146076,s7cd1:20260910:0:0:transport_loss_uniform,13213395061692411087,s7cd1:20260910:0:0:transport_delay_uniform,11349404180243611701,s7cd1:20260910:0:0:outlier_mask_uniform,15358284627873340791,s7cd1:20260910:0:0:outlier_direction,16038766168629232954
informative,0,1,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:1:truth,17659467774097097538,s7cd1:20260910:0:1:nominal_bearing_noise,1154650693607207060,s7cd1:20260910:0:1:transport_loss_uniform,17731694898449738289,s7cd1:20260910:0:1:transport_delay_uniform,894539375676034626,s7cd1:20260910:0:1:outlier_mask_uniform,11425528666294240055,s7cd1:20260910:0:1:outlier_direction,15445734074582139170
poorly_conditioned,1,0,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:1:0:truth,7870443984234645289,s7cd1:20260910:1:0:nominal_bearing_noise,14390598943965098916,s7cd1:20260910:1:0:transport_loss_uniform,16163004684559186656,s7cd1:20260910:1:0:transport_delay_uniform,9261326016525175398,s7cd1:20260910:1:0:outlier_mask_uniform,10859034047912713656,s7cd1:20260910:1:0:outlier_direction,7653975907772079536
poorly_conditioned,1,1,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:1:1:truth,7866147973142132615,s7cd1:20260910:1:1:nominal_bearing_noise,5832006416939056648,s7cd1:20260910:1:1:transport_loss_uniform,9392779959657874859,s7cd1:20260910:1:1:transport_delay_uniform,3159909296019893902,s7cd1:20260910:1:1:outlier_mask_uniform,15958988423259967512,s7cd1:20260910:1:1:outlier_direction,2037446117975638182
